# Packaged 0.34.7 production acceptance matrix.
# Columns: id,group,status,evidence
# PASS only where this tree has a Boost test or an executed e2e script.
# Capabilities bits are not PASS. GPU live kernel requires cuda-isolated-e2e.sh.
id,group,status,evidence
ACL-06,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_subscribed_warning_not_deny
ACL-07,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_no_monetary_noban_or_addr
ACL-08,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_complaint_never_writes_banman
ACL-09,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_corrupt_piece_source_not_relay
ACL-10,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_age_balance_not_trust
ACL-11,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_expiry_vs_revocation_tombstone
ACL-12,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_public_error_hides_private
COMM-01,COMM,PASS,src/test/modelnet_v11_negative_tests.cpp comm_collection_sorted_unique_512
COMM-02,COMM,PASS,src/test/modelnet_v11_negative_tests.cpp comm_collection_cannot_qualify_or_load_code
COMM-03,COMM,PASS,src/test/modelnet_v11_negative_tests.cpp comm_alias_key_from_root_and_slug
COMM-04,COMM,PASS,src/test/modelnet_v11_negative_tests.cpp comm_alias_sequence_conflict_freeze
COMM-05,COMM,PASS,src/test/modelnet_v11_negative_tests.cpp comm_alias_never_chains
COMM-06,COMM,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_comm_06_follow_does_not_raise_budget; src/test/modelnet_v11_remaining_tests.cpp comm_follow_collection_quota_not_raised
COMM-07,COMM,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_comm_07_no_onchain_membership; src/test/modelnet_v11_remaining_tests.cpp comm_circle_no_onchain_membership
COMM-08,COMM,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_comm_08_preservation_local_limits; src/test/modelnet_v11_remaining_tests.cpp comm_preserve_obeys_pins_and_quota
COMM-09,COMM,PASS,src/test/modelnet_v11_remaining_tests.cpp comm_preserve_rare_at_most_one; comm_preserve_rare_jitter
COMM-10,COMM,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_comm_10_third_party_no_credit; src/test/modelnet_v11_remaining_tests.cpp comm_third_party_receipt_no_credit
BRIDGE-01,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_01_link_only_full_uri; src/test/modelnet_bridge_tests.cpp link_only_html_landing
BRIDGE-02,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_02_no_https_fallback_disclosed; src/test/modelnet_bridge_tests.cpp native_pq_failure_does_not_set_native_fallback
BRIDGE-03,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_03_upstream_pq1
BRIDGE-04,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_04_token_longer_than_dns_label; src/test/modelnet_bridge_tests.cpp overlong_hostname_token_rejected
BRIDGE-05,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_05_42_43_split_exact (library split; not public DNS)
BRIDGE-06,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_06_certificate_depth; src/test/modelnet_bridge_tests.cpp wildcard_cert_depth_is_zero; contrib/modelnet/e2e-webpki-tls.sh (local CA)
BRIDGE-07,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_07_no_implicit_download; src/test/modelnet_bridge_tests.cpp public_download_default_false_never_fetches
BRIDGE-08,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_08_wallet_private_unreachable; src/test/modelnet_bridge_tests.cpp get_wallet_403_post_sign_405_dump_403
BRIDGE-09,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_09_no_arbitrary_proxy; src/test/modelnet_bridge_tests.cpp rejects_http_file_and_arbitrary_ips
BRIDGE-10,BRIDGE,PASS,src/test/modelnet_bridge_tests.cpp byte_range_maps_to_pieces_json_only
BRIDGE-11,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_11_json_only_isolation; src/test/modelnet_bridge_tests.cpp cache_key_uses_full_canonical_uri
BRIDGE-12,BRIDGE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_bridge_12_browser_not_native_pq; src/test/modelnet_bridge_tests.cpp body_never_claims_pq_end_to_end_true
BRIDGE-optional-chrome,BRIDGE,PASS,contrib/modelnet/e2e-bridge-optional.sh (local CA + Chrome host-resolver-rules; not public WebPKI)
BRIDGE-operator-dns,BRIDGE,PASS,contrib/modelnet/e2e-public-webpki-kit.sh live base DNS + NXDOMAIN-safe 42/43 query; split publication/SNI remains operator-zone dependent; src/test/modelnet_bridge_tests.cpp dns_split_42_43_labels_and_join
BRIDGE-public-ca,BRIDGE,PASS,contrib/modelnet/e2e-webpki-tls.sh and e2e-public-webpki-kit.sh system-trust TLS to example.com/public test endpoint; operator hostname certificate remains external
LOCAL-01,LOCAL,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_local_01_open_uri_preview_only; src/test/modelnet_v11_remaining_tests.cpp local_open_uri_preview_only
LOCAL-02,LOCAL,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_local_02_export_verified_path
LOCAL-03,LOCAL,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_local_03_unsupported_no_remote_inference; src/test/modelnet_v11_remaining_tests.cpp local_pickle_rejected_no_remote_inference
LOCAL-04,LOCAL,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_local_04_models_before_finance
LOCAL-05,LOCAL,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_local_05_storage_consent; src/test/modelnet_v11_remaining_tests.cpp local_payload_storage_zero_refused
MIG-01,MIG,PASS,src/test/modelnet_mig_doc_tests.cpp mig_exportmodelpath_never_starts_runtime
MIG-02,MIG,PASS,src/test/modelnet_mig_doc_tests.cpp mig_02_b0_hello_and_cores_unchanged
MIG-03,MIG,PASS,src/test/modelnet_mig_doc_tests.cpp mig_exportmodelpath_never_starts_runtime
MIG-04,MIG,PASS,src/test/modelnet_mig_doc_tests.cpp mig_identities_json_not_wallet_dump
MIG-05,MIG,PASS,src/test/modelnet_mig_doc_tests.cpp mig_seed_preserve_flags_persist
DOC-01,DOC,PASS,src/test/modelnet_mig_doc_tests.cpp doc_01_b0_markdown_sha384_matches_cited; contrib/modelnet/validate-doc-examples.sh
DOC-02,DOC,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_doc_02_documented_vectors_identical; contrib/modelnet/dependency-lock.md
DOC-03,DOC,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_doc_03_inference_removed; src/test/modelnet_mig_doc_tests.cpp doc_capabilities_match_disclosure; doc/modelnet/recovery.md
DOC-04,DOC,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_doc_04_bridge_scoped_optional; src/test/modelnet_mig_doc_tests.cpp doc_native_fallback_never_true
ISO-01,ISO,PASS,src/test/modelnet_iso_isolation_tests.cpp iso_01_every_native_http_path_requires_pq1; src/test/modelnet_b0_remaining_tests.cpp iso_01_08_http_flood_helper_bounds
ISO-02,ISO,PASS,src/test/modelnet_iso_isolation_tests.cpp iso_02_model_work_yields_to_consensus; iso_02_qualify_runtime_default_no_cuda
ISO-03,ISO,PASS,src/test/modelnet_v11_remaining_tests.cpp iso_qualify_runtime_default_not_run (runtime_check=0 => NOT_RUN_CUDA_ISOLATION)
ISO-04,ISO,PASS,src/test/modelnet_v11_remaining_tests.cpp iso_helper_missing_capabilities_listed
ISO-05,ISO,PASS,src/test/modelnet_iso_isolation_tests.cpp iso_05_capabilities_honest
ISO-06,ISO,PASS,src/test/modelnet_iso_isolation_tests.cpp iso_06_http_worker_and_tls_bounds
ISO-07,ISO,PASS,src/test/modelnet_b0_remaining_tests.cpp iso_01_08_http_flood_helper_bounds
ISO-08,ISO,PASS,src/test/modelnet_b0_remaining_tests.cpp iso_01_08_http_flood_helper_bounds
BASE-03,BASE,PASS,src/test/modelnet_b0_remaining_tests.cpp base_03_capabilities_monetary_isolation
WIRE-01,WIRE,PASS,src/test/modelnet_b0_remaining_tests.cpp wire_01_08_sendmodels_and_getmdpeers
WIRE-02,WIRE,PASS,src/test/modelnet_b0_remaining_tests.cpp wire_01_08_sendmodels_and_getmdpeers
WIRE-03,WIRE,PASS,src/test/modelnet_b0_remaining_tests.cpp wire_01_08_sendmodels_and_getmdpeers
WIRE-04,WIRE,PASS,src/test/modelnet_b0_remaining_tests.cpp wire_01_08_sendmodels_and_getmdpeers
WIRE-05,WIRE,PASS,src/test/modelnet_b0_remaining_tests.cpp wire_01_08_sendmodels_and_getmdpeers
WIRE-06,WIRE,PASS,src/test/modelnet_b0_remaining_tests.cpp wire_01_08_sendmodels_and_getmdpeers
WIRE-07,WIRE,PASS,src/test/modelnet_b0_remaining_tests.cpp wire_01_08_sendmodels_and_getmdpeers
WIRE-08,WIRE,PASS,src/test/modelnet_b0_remaining_tests.cpp wire_01_08_sendmodels_and_getmdpeers
DISC-01,DISC,PASS,src/test/modelnet_b0_disc_store_tests.cpp disc_01_cpu_router_introduces_hosts
DISC-02,DISC,PASS,src/test/modelnet_b0_disc_store_tests.cpp disc_02_sendmodels_not_useful_address
DISC-03,DISC,PASS,src/test/modelnet_b0_disc_store_tests.cpp disc_03_hidden_monetary_endpoints
DISC-04,DISC,PASS,src/test/modelnet_b0_disc_store_tests.cpp disc_04_independent_bootstrap; contrib/modelnet/e2e-disc-failure.sh
DISC-05,DISC,PASS,src/test/modelnet_b0_disc_store_tests.cpp disc_05_router_loss_hosts_remain; contrib/modelnet/e2e-disc-failure.sh
DISC-06,DISC,PASS,src/test/modelnet_b0_disc_store_tests.cpp disc_06_stale_record_eviction
DISC-07,DISC,PASS,src/test/modelnet_b0_disc_store_tests.cpp disc_07_sybil_bounds
DISC-08,DISC,PASS,src/test/modelnet_b0_disc_store_tests.cpp disc_08_fresh_datadir_empty_peers
STORE-01,STORE,PASS,src/test/modelnet_b0_disc_store_tests.cpp store_01_multi_source_resume; contrib/modelnet/e2e-two-wan.sh; contrib/modelnet/e2e-nat-congested.sh
STORE-02,STORE,PASS,src/test/modelnet_b0_disc_store_tests.cpp store_02_corrupt_piece_rejected
STORE-03,STORE,PASS,src/test/modelnet_b0_disc_store_tests.cpp store_03_whole_file_hash_mismatch
STORE-04,STORE,PASS,src/test/modelnet_b0_disc_store_tests.cpp store_04_metainfo_must_agree
STORE-05,STORE,PASS,src/test/modelnet_b0_disc_store_tests.cpp store_05_disk_exhaustion_preserves
STORE-06,STORE,PASS,src/test/modelnet_b0_disc_store_tests.cpp store_06_unsafe_paths_rejected
STORE-07,STORE,PASS,src/test/modelnet_b0_disc_store_tests.cpp store_07_crash_recovery_committed_pieces
STORE-08,STORE,PASS,src/test/modelnet_b0_disc_store_tests.cpp store_08_gc_pins_prevent_eviction
MODEL-01,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
MODEL-02,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
MODEL-03,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
MODEL-04,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
MODEL-05,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
MODEL-06,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
MODEL-07,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
MODEL-08,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
MODEL-09,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
MODEL-10,MODEL,PASS,src/test/modelnet_b0_remaining_tests.cpp model_01_10_adversarial_safetensors_gguf_pickle_encrypted
PAY-01,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_01_quote_json_zero_cannot_make_paid_free
PAY-02,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_02_quote_mutation_requires_reapproval
PAY-03,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_03_10_duplicate_txid_and_range
PAY-04,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_04_08_buyer_bind_and_durable_journal
PAY-05,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_05_reorg_payment_hold
PAY-06,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_06_eta_includes_fees
PAY-07,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_07_helper_cannot_sign_or_verify_chain
PAY-08,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_04_08_buyer_bind_and_durable_journal
PAY-09,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_09_partial_delivery
PAY-10,PAY,PASS,src/test/modelnet_pay_pool_tests.cpp pay_03_10_duplicate_txid_and_range
POOL-01,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_01_exact_target_freeze
POOL-02,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_02_all_outputs_match_frozen_template
POOL-03,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_03_changed_round_invalidates_fingerprint
POOL-04,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_04_missing_participant
POOL-05,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_05_double_used_input
POOL-06,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_06_refund_ownership_in_fingerprint
POOL-07,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_07_wrong_key_hash160
POOL-08,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_08_10_12_campaign_key_valid_not_useful
POOL-09,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_09_refund_race_window
POOL-10,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_08_10_12_campaign_key_valid_not_useful
POOL-11,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_08_10_12_campaign_key_valid_not_useful (campaigns.json reload)
POOL-12,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_08_10_12_campaign_key_valid_not_useful
POOL-13,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_13_amount_and_exposure_caps
POOL-14,POOL,PASS,src/test/modelnet_pay_pool_tests.cpp pool_14_helper_funding_requires_params; src/test/modelnet_funding_tests.cpp helper_prepare_sign_submit_claim_refund_implemented
PQ-01,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh
PQ-02,PQ,PASS,src/test/modelnet_tests.cpp pq1_rejects_hybrid_peer
PQ-03,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-04,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-05,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-06,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-07,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-08,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-09,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-10,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-11,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-12,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-13,PQ,PASS,src/test/modelnet_tests.cpp pq1_handshake_mlkem768; contrib/modelnet/e2e-two-helper-pq1.sh (PQ1 suite)
PQ-14,PQ,PASS,src/test/modelnet_b0_remaining_tests.cpp pq_14_19_21_23_24_pin_conf_hash160_failclosed
PQ-15,PQ,PASS,src/test/modelnet_b0_pq_rest_tests.cpp pq_15_forged_record_never_verified
PQ-16,PQ,PASS,src/test/modelnet_b0_pq_rest_tests.cpp pq_16_grant_replay_nonce
PQ-17,PQ,PASS,src/test/modelnet_b0_pq_rest_tests.cpp pq_17_pin_rotation_no_forced_replace
PQ-18,PQ,PASS,src/test/modelnet_b0_pq_rest_tests.cpp pq_18_missing_pq_fail_closed
PQ-19,PQ,PASS,src/test/modelnet_tests.cpp pq19_openssl_conf_cannot_weaken_pq1; contrib/modelnet/e2e-openssl-358.sh
PQ-20,PQ,PASS,src/test/modelnet_b0_pq_rest_tests.cpp pq_20_https_not_native_pq1
PQ-21,PQ,PASS,src/test/modelnet_b0_remaining_tests.cpp pq_14_19_21_23_24_pin_conf_hash160_failclosed
PQ-22,PQ,PASS,src/test/modelnet_b0_pq_rest_tests.cpp pq_22_v1_32byte_ids_not_padded
PQ-23,PQ,PASS,src/test/modelnet_b0_remaining_tests.cpp pq_14_19_21_23_24_pin_conf_hash160_failclosed
PQ-24,PQ,PASS,src/test/modelnet_b0_remaining_tests.cpp pq_14_19_21_23_24_pin_conf_hash160_failclosed
SCRIPT-01,SCRIPT,PASS,src/test/modelnet_b0_remaining_tests.cpp script_01_12_leaf_and_campaign_sha256_only; src/test/modelnet_funding_tests.cpp
SCRIPT-02,SCRIPT,PASS,src/test/modelnet_b0_remaining_tests.cpp script_01_12_leaf_and_campaign_sha256_only; src/test/modelnet_funding_tests.cpp
SCRIPT-03,SCRIPT,PASS,test/functional/wallet_htlc_atomicswap.py; src/test/modelnet_b0_remaining_tests.cpp script_01_12_leaf_and_campaign_sha256_only
SCRIPT-04,SCRIPT,PASS,src/test/modelnet_funding_tests.cpp freeze_model_funding_descriptor_mr_htlc_sha256
SCRIPT-05,SCRIPT,PASS,src/test/modelnet_funding_tests.cpp freeze_model_funding_never_htlc_sha256_tx_or_buildmodelhtlcclaim
SCRIPT-06,SCRIPT,PASS,src/test/modelnet_funding_tests.cpp
SCRIPT-07,SCRIPT,PASS,src/test/modelnet_funding_tests.cpp
SCRIPT-08,SCRIPT,PASS,src/test/modelnet_funding_tests.cpp
SCRIPT-09,SCRIPT,PASS,test/functional/wallet_htlc_atomicswap.py
SCRIPT-10,SCRIPT,PASS,src/test/modelnet_funding_tests.cpp; test/functional/wallet_modelnet_funding.py
