test_id,family,title,prerequisites,given,when,assertions,evidence_path,status
HCP-INTENT-03,INTENT,Expired quote,transactional gateway + native executor fault injection,Firm quote expires before authorized submission,Submit with valid OAuth token,QUOTE_EXPIRED; no native effect; hold handled under proven unsigned state,evidence/HCP-INTENT-03/,NOT_RUN
HCP-INTENT-04,INTENT,Terms change,transactional gateway + native executor fault injection,Approved terms digest differs from current frozen round,Submit the previously prepared intent,TERMS_CHANGED; reprepare requires new explicit authorization,evidence/HCP-INTENT-04/,NOT_RUN
HCP-INTENT-05,INTENT,Crash before broadcast,transactional gateway + native executor fault injection,Signed bytes durably recorded and worker dies before dispatch,Restart and resume execution,Recover exact bytes and native input reservations; at most identical dispatch,evidence/HCP-INTENT-05/,NOT_RUN
HCP-INTENT-06,INTENT,Crash after broadcast,transactional gateway + native executor fault injection,Native accepts transaction but gateway loses response,Restart all API/executor replicas and retry client,BROADCAST_UNKNOWN until reconciled; same bytes only; no second debit,evidence/HCP-INTENT-06/,NOT_RUN
HCP-INTENT-07,INTENT,Cancel boundary,transactional gateway + native executor fault injection,One unsigned prepared intent and one ambiguously broadcast intent,Cancel both,Unsigned cancellation releases safe holds; ambiguous one enters reconciliation without false refund,evidence/HCP-INTENT-07/,NOT_RUN
HCP-INTENT-08,INTENT,Conversion partial success,transactional gateway + native executor fault injection,"Fiat conversion executed, native target becomes ineligible",Continue composite intent,Retain actual converted balance and explicit failed funding leg; no unauthorized reverse trade,evidence/HCP-INTENT-08/,NOT_RUN
HCP-LEDGER-01,LEDGER,Concurrent funds reservation,real partner ledger adapter or transactional native test ledger,One account balance and many simultaneous valid intents,Race reservations across service replicas,Committed holds never exceed available balance; database uniqueness/fencing demonstrated,evidence/HCP-LEDGER-01/,NOT_RUN
HCP-LEDGER-02,LEDGER,Principal versus fees,real partner ledger adapter or transactional native test ledger,"Quote principal, network reserve and service fee",Authorize and render pool/account statements,Only principal enters native funding sum; all debit components itemized,evidence/HCP-LEDGER-02/,NOT_RUN
HCP-LEDGER-03,LEDGER,Lifetime limit,real partner ledger adapter or transactional native test ledger,Policy has limited lifetime principal plus separate outstanding cap,"Spend, refund and attempt another action",Exposure may decrease after proven refund; lifetime budget does not silently replenish,evidence/HCP-LEDGER-03/,NOT_RUN
HCP-LEDGER-04,LEDGER,Overlapping batch outputs,real partner ledger adapter or transactional native test ledger,Native batch contains output referenced by two ledger entries,Reconcile funded commitments,Duplicate attribution rejected; ledger cannot credit two customers for one economic output,evidence/HCP-LEDGER-04/,NOT_RUN
HCP-LEDGER-05,LEDGER,Native money bounds,real partner ledger adapter or transactional native test ledger,Amount string exceeds native range or has leading zero/exponent,Prepare quote/intent,Reject before integer overflow or native signing; native MoneyRange still enforced,evidence/HCP-LEDGER-05/,NOT_RUN
HCP-LEDGER-06,LEDGER,Fee change,real partner ledger adapter or transactional native test ledger,Network fee required exceeds approved fee cap,Executor attempts replacement/rebuild,Fresh authority required; no hidden principal reduction or fee overrun,evidence/HCP-LEDGER-06/,NOT_RUN
HCP-LEDGER-07,LEDGER,Reservation persistence,real partner ledger adapter or transactional native test ledger,Accepted intent and held funds before database/process crash,Restore and reconcile,Financial intent and hold durably coupled; no orphan release or missing liability,evidence/HCP-LEDGER-07/,NOT_RUN
HCP-LEDGER-08,LEDGER,Statements,real partner ledger adapter or transactional native test ledger,"Available, held, escrow, claimed and refunded positions coexist",Generate customer and aggregate reconciliation report,No double-counted available capital; ledger balances and native output attribution reconcile,evidence/HCP-LEDGER-08/,NOT_RUN
HCP-CHAIN-01,CHAIN,202 is not settlement,native BTX test network with controllable reorgs,Native submission accepted asynchronously,Read API receipt immediately,State is pending/accepted; not funded or final until evidence threshold,evidence/HCP-CHAIN-01/,NOT_RUN
HCP-CHAIN-02,CHAIN,Confirmation policy,native BTX test network with controllable reorgs,One valid transaction progresses through configured confirmations,Observe at each anchor,"Threshold applied; anchor/hash/count exposed as observation, not absolute finality",evidence/HCP-CHAIN-02/,NOT_RUN
HCP-CHAIN-03,CHAIN,Reorg correction,native BTX test network with controllable reorgs,Confirmed funding falls out of active chain,Reorganize and deliver observer update,"Corrective receipt/event, no budget reset or duplicate funding; dependent unsent work paused",evidence/HCP-CHAIN-03/,NOT_RUN
HCP-CHAIN-04,CHAIN,Disclosed secret survives reorg,native BTX test network with controllable reorgs,Valid release secret observed before claim reorg,Revert chain anchor,Knowledge state remains disclosed; settlement state reverts independently,evidence/HCP-CHAIN-04/,NOT_RUN
HCP-CHAIN-05,CHAIN,Observer outage,native BTX test network with controllable reorgs,Native node temporarily unavailable,Query finance state and attempt dependent action,NATIVE_VERIFIER_UNAVAILABLE/unknown; absence not claimed and no automatic respend,evidence/HCP-CHAIN-05/,NOT_RUN
HCP-CHAIN-06,CHAIN,Verifier disagreement,native BTX test network with controllable reorgs,CEX observer and configured independent verifier disagree,Evaluate required financial prerequisite,Explicit conflict; no merged fake certainty; free public data remains separately acquirable,evidence/HCP-CHAIN-06/,NOT_RUN
HCP-CHAIN-07,CHAIN,Refund conditions,native BTX test network with controllable reorgs,Unawarded bounty before and after native refund height,Try refund with exact stored template,Early attempt denied; eligible refund follows native verification and correct beneficiary credit,evidence/HCP-CHAIN-07/,NOT_RUN
HCP-CHAIN-08,CHAIN,Receipt authority label,native BTX test network with controllable reorgs,Provider receipt reports a native-node observation,Import on walletless local client,Displayed as HOSTED_ATTESTED unless independently checked; no SPV/full validation claim from signature alone,evidence/HCP-CHAIN-08/,NOT_RUN
HCP-EVENT-01,EVENT,At-least-once duplicate,durable outbox + stream/webhook clients,One native transition delivered repeatedly through SSE,Restart client between deliveries,One logical local action; event duplicate retained safely without promise of exactly-once transport,evidence/HCP-EVENT-01/,NOT_RUN
HCP-EVENT-02,EVENT,Cursor retention,durable outbox + stream/webhook clients,Client cursor predates retained history,Request events,"CURSOR_TOO_OLD plus reconciliation route, not empty success",evidence/HCP-EVENT-02/,NOT_RUN
HCP-EVENT-03,EVENT,Account cursor binding,durable outbox + stream/webhook clients,Cursor for account A and filter F,Use with B or altered filter,Rejected; no cross-tenant event leakage,evidence/HCP-EVENT-03/,NOT_RUN
HCP-EVENT-04,EVENT,Future subscription race,durable outbox + stream/webhook clients,Many workers see same publisher event under finite policy,Create action concurrently,One durable policy/event/action business key; no duplicate debit,evidence/HCP-EVENT-04/,NOT_RUN
HCP-EVENT-05,EVENT,Catalogue restore,durable outbox + stream/webhook clients,Restore old records after index rebuild,Replay discovery into subscriptions,Historical matches not counted as new chargeable events,evidence/HCP-EVENT-05/,NOT_RUN
HCP-EVENT-06,EVENT,Outbox crash,durable outbox + stream/webhook clients,State committed but event delivery interrupted,Recover worker,Event eventually delivered from durable outbox without losing accepted transition,evidence/HCP-EVENT-06/,NOT_RUN
HCP-EVENT-07,EVENT,Webhook SSRF,durable outbox + stream/webhook clients,"Callback targets loopback, private metadata address or rebinding host",Register and trigger callback,Configuration policy/DNS/network controls block; no credentials or internal response disclosed,evidence/HCP-EVENT-07/,NOT_RUN
HCP-EVENT-08,EVENT,Revoked subscription,durable outbox + stream/webhook clients,Policy revoked with queued events,Process queue after revocation,No new signatures; dispatched intents remain reconcilable and visible,evidence/HCP-EVENT-08/,NOT_RUN
HCP-FLEET-01,FLEET,Pair exact device,real browser + owner-only client connector,Device key and short-lived pairing challenge,Approve from authenticated account,Device/account binding confirmed on both ends; wrong/expired challenge rejected,evidence/HCP-FLEET-01/,NOT_RUN
HCP-FLEET-02,FLEET,No ambient localhost API,real browser + owner-only client connector,Malicious web page probes local daemon,Try GET/POST/CORS/custom URI calls,No unrestricted privileged route; no finance token in URI or local process launch,evidence/HCP-FLEET-02/,NOT_RUN
HCP-FLEET-03,FLEET,Outbound-only handoff,real browser + owner-only client connector,Paired device behind NAT/firewall,Queue capability handoff,Device retrieves through authorized outbound session without opening inbound execution port,evidence/HCP-FLEET-03/,NOT_RUN
HCP-FLEET-04,FLEET,Device revocation,real browser + owner-only client connector,Paired device with pending handoff,Revoke pair then poll/report,New handoffs/reports rejected as configured; already local public model stays under owner policy,evidence/HCP-FLEET-04/,NOT_RUN
HCP-FLEET-05,FLEET,Cross-device replay,real browser + owner-only client connector,Handoff for one fleet device,Replay to another device in same account,Device/nonce binding rejects without changing selected recipe,evidence/HCP-FLEET-05/,NOT_RUN
HCP-FLEET-06,FLEET,Coarse progress,real browser + owner-only client connector,"Transfer complete, runtime not ready and later ready",Render portal updates,Correct stages; no private paths/prompts; readiness only after valid device observation,evidence/HCP-FLEET-06/,NOT_RUN
HCP-FLEET-07,FLEET,CEX cannot administer local grant,real browser + owner-only client connector,CEX fleet admin attempts to broaden execution policy,Send remote grant mutation disguised as handoff,Local owner/organization policy authority required; hosted credential insufficient,evidence/HCP-FLEET-07/,NOT_RUN
HCP-FLEET-08,FLEET,Mixed platform fleet,real browser + owner-only client connector,Two genuinely supported local platforms and different recipes,Launch same capability request via portal,Each local resolver selects eligible exact implementation; unsupported runtime fails explicitly,evidence/HCP-FLEET-08/,NOT_RUN
HCP-PRIV-01,PRIV,Prompts stay local,packet capture + logs/export fixtures,Real local inference after hosted handoff,Capture all provider traffic,"No prompts, completions, KV or prefix-state identifiers in provider requests",evidence/HCP-PRIV-01/,NOT_RUN
HCP-PRIV-02,PRIV,Inventory off by default,packet capture + logs/export fixtures,Local residency contains private models/hardware identifiers,Search and ensure using default reporting policy,No full inventory/fingerprint exfiltration; coarse capability constraints only if approved,evidence/HCP-PRIV-02/,NOT_RUN
HCP-PRIV-03,PRIV,Private URL redaction,packet capture + logs/export fixtures,Source origin includes bearer query credential,"Generate package, receipt, logs and export",Secret URL excluded/redacted; public hints contain no access capability,evidence/HCP-PRIV-03/,NOT_RUN
HCP-PRIV-04,PRIV,Tenant analytics,packet capture + logs/export fixtures,Two tenants with low-volume distinctive capability requests,Produce analytics views,No customer-identifying cross-tenant exposure; cohort policy or suppression applied,evidence/HCP-PRIV-04/,NOT_RUN
HCP-PRIV-05,PRIV,Required versus optional records,packet capture + logs/export fixtures,Owner disables product analytics,Fund a permitted native action,Optional analytics off; required financial records retained under declared policy without public broadcast,evidence/HCP-PRIV-05/,NOT_RUN
HCP-PRIV-06,PRIV,Read token in runtime,packet capture + logs/export fixtures,Connector authenticated to CEX,Spawn local loader worker and inspect environment/FDs,No provider/custody/cloud token inherited,evidence/HCP-PRIV-06/,NOT_RUN
HCP-PRIV-07,PRIV,Native-only acquisition,packet capture + logs/export fixtures,Enrolled hosted metadata provider but model policy NATIVE_ONLY,Return external cloud URL as source hint,External payload fetch denied unless separately approved; metadata permission not origin permission,evidence/HCP-PRIV-07/,NOT_RUN
HCP-PRIV-08,PRIV,No inference billing,packet capture + logs/export fixtures,Model runs repeatedly after free or funded acquisition,Inspect exchange/network events,No mandatory per-inference BTX debit or usage heartbeat introduced,evidence/HCP-PRIV-08/,NOT_RUN
HCP-PORT-01,PORT,Discovery switch,two independent test providers + client export,Exact package/lock acquired using A,Export and import under B,Identity preserved; new provider authentication explicit; no software trust migration,evidence/HCP-PORT-01/,NOT_RUN
HCP-PORT-02,PORT,Uncertain finance across providers,two independent test providers + client export,A has BROADCAST_UNKNOWN intent,Switch discovery to B,No automatic equivalent funding at B; unresolved A obligation remains visible,evidence/HCP-PORT-02/,NOT_RUN
HCP-PORT-03,PORT,Free use after exit,two independent test providers + client export,Public assets and runtime lease local,Revoke CEX enrollment and disconnect network,Local permitted use persists; no origin/issuer heartbeat dependency,evidence/HCP-PORT-03/,NOT_RUN
HCP-PORT-04,PORT,Custody exit statement,two independent test providers + client export,Pending lots and refunds under custodial keys,Export customer state,"Native references, controller and conditions explicit; not falsely called self-custody",evidence/HCP-PORT-04/,NOT_RUN
HCP-PORT-05,PORT,Schema evolution,two independent test providers + client export,HCP/1 client sees unknown critical profile capability,Attempt action,Fail closed with version error; no unsafe downcast into generic RPC,evidence/HCP-PORT-05/,NOT_RUN
HCP-PORT-06,PORT,Migration interruption,two independent test providers + client export,Local connector/account schema migration mid-write,Crash/restart using backed-up fixtures,Atomic/restartable migration; enrollments and financial histories not silently dropped,evidence/HCP-PORT-06/,NOT_RUN
HCP-PORT-07,PORT,Independent SDK parity,two independent test providers + client export,Python and TypeScript serializations of same intent,Hash and compare canonical signed body,Identical body_id and decimal values; unsupported encodings rejected consistently,evidence/HCP-PORT-07/,NOT_RUN
HCP-PORT-08,PORT,No native core rewrite,two independent test providers + client export,Hosted wrapper of existing Core v3 package,Remove wrapper and use native client,Original native package and recipe remain exact and usable,evidence/HCP-PORT-08/,NOT_RUN
HCP-OPS-01,OPS,Public bridge isolation,isolated integration environment + operator runbooks,Existing read-only explorer/browser bridge,Try all hosted finance method names and path variants,Remains read-only; new API service is not a native wallet proxy,evidence/HCP-OPS-01/,NOT_RUN
HCP-OPS-02,OPS,Money-only regression,isolated integration environment + operator runbooks,WITH_MODELNET=OFF build and helper-kill fixture,Build/run monetary regression and stop model/capability helper,Money unaffected; hosted model operations fail safely,evidence/HCP-OPS-02/,NOT_RUN
HCP-OPS-03,OPS,Replica fencing,isolated integration environment + operator runbooks,Two finance executors race ownership lease,Force lease expiry/network partition during submit,Only fenced owner initiates new signing; reconciliation prevents replacement spend,evidence/HCP-OPS-03/,NOT_RUN
HCP-OPS-04,OPS,Scale within limits,isolated integration environment + operator runbooks,Configured concurrent SSE/search/intents beyond capacity,Load test with held-down native dependency,"Backpressure/rate limits, bounded memory and durable accepted intents; no false success",evidence/HCP-OPS-04/,NOT_RUN
