family,row,status,evidence_path,reason
CONV-06-dead-admission-class,which admission code the tests bind,WITH_GAP,src/modelnet/upload_scheduler.cpp;src/test/modelnet_network02_tests.cpp,UploadScheduler::Admit still has exactly one caller in the whole tree and it is a test (modelnet_network02_tests.cpp:276) while production admits only through UploadSchedulerDrr g_drr; that 2-request cap assertion must not be read as shipping-path admission evidence; the DRR caps themselves are honestly covered by modelnet_network02_ef_tests.cpp::drr_identity_and_netgroup_are_separate_caps
CONV-07-hysteresis,bulk controller 2-tick restore,PASS,src/test/modelnet_convergence_tests.cpp::conv_bulk_hysteresis_does_not_oscillate,unit-level 2-tick restore without oscillation; no constrained link involved
CONV-07-bufferbloat,constrained-link RTT lab,NOT_RUN,n/a,no netem/tc constrained-link lab; RTT under load was never measured
CONV-08-bootstrap-leases,20 distinct leases,PASS,src/test/modelnet_convergence_tests.cpp::conv_bootstrap_twenty_buyers_distinct_leases;src/test/modelnet_network02_tests.cpp::bootstrap_expire_reassigns_gap_without_overlap,20 distinct leases plus expiry reassignment without overlap; library-level not 20 processes
CONV-08-20-buyers-origin-independence,20 real buyers multi-GiB,NOT_RUN,n/a,needs 20 real buyer processes and a multi-GiB artifact; neither exists in this tree
CONV-09-get-arithmetic,1000 logical vs 1 SOURCE_FILES GET,PASS,src/test/modelnet_convergence_tests.cpp::conv_coalesce_logical_clients_one_backend_get;src/test/modelnet_convergence_tests.cpp::conv_400gib_request_counts_differ_by_layout,planner arithmetic only: 1000 logical clients coalesce to one SOURCE_FILES GET
CONV-09-1000-clients,1000 real clients,NOT_RUN,n/a,no harness to spawn 1000 real client processes on this host; the CONV-09 arithmetic must not be read as a live result
CONV-10-fakes3,FakeS3 layouts,PASS,src/test/modelnet_cloud_tests.cpp::cloud_01_sigv4_put_get_fakes3;src/test/modelnet_cloud_tests.cpp::fullcloud_05_fakes3_stream_hydrates_one_get,FakeS3 SigV4 PUT/GET plus per-layout key derivation; no real object store spoken to
CONV-10-minio,local MinIO all layouts,NOT_RUN,n/a,restamped blocker: the minio binary is still absent (not on PATH and no /usr/local/bin/minio) but docker 29.5.2 is installed and / has 165G free so the honest blocker is that no MinIO harness exists - there is no compose file; no service unit; no functional test; rg -i minio hits only config parsing plus r2s_07_minio_is_config_only_not_run; the row closes only when a docker-based MinIO e2e is written and executed across all four layouts and stays NOT_RUN until then
CONV-10-400gib-io,400 GiB object I/O,NOT_RUN,n/a,400 GiB payload exceeds the 165G free on / and the disk policy forbids the write; only layout arithmetic ran
CONV-11-sentinel,secret not in public package/RPC,PASS,src/test/modelnet_convergence_tests.cpp::conv_sentinel_secret_not_in_package_or_rpc,sentinel string appears only in the invalid vector and the test source; absent from public package bytes and RPC output
CONV-12-hf-local,HF fixture,PASS,src/test/modelnet_network02_import_tests.cpp::hf_inject_test_bytes_only;src/test/modelnet_network02_import_tests.cpp::hf_ssrf_pin_and_no_live_http,local injected fixture bytes plus SSRF pin; the case asserts no live HTTP is attempted
CONV-12-hf-live,real Hugging Face HTTP,NOT_RUN,src/test/modelnet_unique_todo_tests.cpp::unique_todo_live_r2_hf_wan,honest NOT_RUN: operator did not authorize internet HF; the helper reports live_hf_http=false and the native case asserts the NOT_RUN string is reported rather than faking a pass
CONV-13-torrent-map,piece-size remap + path reject,PASS,src/test/modelnet_network02_import_tests.cpp::torrent_map_range_infohash_not_authorship;src/test/modelnet_network02_tests.cpp::torrent_range_skips_padding,piece-size remap + traversal path reject + padding-file skip; library-level
CONV-13-torrentd,isolated torrentd process,DEFERRED_WITH_EVIDENCE,src/modelnet/helper_network02.cpp;src/test/modelnet_network02_audit_tests.cpp::n02_healer_and_execute_migration_are_not_stubs;src/test/modelnet_unique_todo_tests.cpp::unique_todo_torrentd,design decision: torrentd is NONSHIPPING as a separate process; settorrentsourcepolicy pins torrentd_process=false with reverse_bridge_live=true mapped inside the helper so no daemon exists to isolate; read together with the honest NOT_RUN for any torrentd process lab
CONV-14-local-cloud-cli,btx-model host --storage,NOT_RUN,n/a,contrib/modelnet/btx-model exposes cloud add|test|status and a local host <dir>; no host --storage cloud-attach path exists to run and no CLI cloud e2e was executed this round
CONV-15-hf-stream-s3,HF stream to S3,NOT_RUN,n/a,requires the live HF stream that is not authorized; no offline substitute for the stream-to-object path
CONV-16-direct-seed,presigned GET FakeS3,PASS,src/test/modelnet_cloud_tests.cpp::cloud_09_presign_get_exact_object,presigned GET binds the exact object key against FakeS3; unit tier not a real CDN; the local MinIO presign e2e is NOT_RUN with CONV-10-minio
CONV-17-diversity,5 providers 1 netgroup,PASS,src/test/modelnet_convergence_tests.cpp::conv_picker_caps_shared_netgroup;src/test/modelnet_convergence_tests.cpp::conv_origin_correlation_is_not_five_independent_origins,5 providers sharing one netgroup are counted as correlated and capped; in-process; the live caller supplies a bare host as the netgroup so see R1-picker-production-wiring for what the production cap actually buckets
CONV-18-erasure-stripe,k-1 not reconstructable,WITH_GAP,src/test/modelnet_convergence_tests.cpp::conv_erasure_global_n_is_not_reconstructable;src/test/modelnet_network02_tests.cpp::erasure_per_stripe_not_global_count;audit/r6-erasure.md,the property the lane exists to protect holds and the two named cases really assert it: k-1 shards per stripe are not reconstructable and a global n is not treated as sufficiency; downgraded from PASS because those two cases predate the SPEC 14 rework of erasure_manifest.cpp/erasure_store.cpp so no executed case covers the record the erasure RPCs now emit; the suite written for that record is registered but unbuilt - see SPEC14-per-stripe-record
SPEC14-per-stripe-record,four required per-stripe fields,IN_PROGRESS,src/modelnet/erasure_manifest.cpp;src/modelnet/erasure_store.cpp;src/test/modelnet_r6_erasure_tests.cpp,restamped against source observed 2026-09-17T16:26Z - both erasure TUs and the r6 suite are untracked and were being edited during this restamp so cite them by symbol not by line: audit/r6-erasure.md records FAIL for SPEC 14 and that verdict plus all of its line numbers are stale; at this instant ErasureHealthJson emits all four required fields (k_required / independent_shards / distinct_failure_domains / reconstructable) plus distinct_stored; distinct_effective; deficit; a preservation_reconstructable gated on RequiredFailureDomains; and a per-stripe repair_target; ErasureEffectivePositionSets credits tail padding via ErasureStripeIndexSetOk + TailStripeOffset so the manifest author cannot choose the credited stripe; the profile allowlist admits only ERASURE_PROFILE_CAUCHY_16_20_V1 (the review-only r6-review-k-n was removed); RepairCanonicalFromShards verifies shard_hash_hex and writes tmp + O_EXCL + fsync + rename and bounds each read by shard_bytes; and it now has a production caller (ErasureFromObject in helper_network02.cpp) that executes a real GF decode when the request supplies shards + positions; IN_PROGRESS solely because NOTHING WAS COMPILED - src/test/modelnet_r6_erasure_tests.cpp is registered in src/test/CMakeLists.txt but has never been built or run so every property above is read off the page and none is an observed result
CONV-18-huge-erasure,huge model bounded-memory,NOT_RUN,n/a,no GiB-scale erasure fixture; each shard read is now bounded by shard_bytes in RepairCanonicalFromShards but that is a code property read off the page - peak RSS at GiB scale was never measured and cannot be until the erasure suite is built and run
CONV-19-healer,endangered range RPC,DEFERRED_WITH_EVIDENCE,src/modelnet/helper_network02.cpp;src/test/modelnet_network02_audit_tests.cpp::n02_healer_and_execute_migration_are_not_stubs,design decision narrowed at this restamp: setmodelswarmhealer reports EndangeredPieces with whole_model=false and automatic_spend_atoms=0 and never fetches a shard or spends; repair itself is no longer inert - ErasureFromObject executes a real GF decode and reports recovered_data_shards when the request supplies shards + positions - but the bytes must be handed in by the caller so there is still no autonomous repair run to observe and no spend path
CONV-20-btx-vectors,valid/invalid vectors,PASS,audit/btx-package-vectors/;src/test/modelnet_network02_tests.cpp::package_bundle_roundtrip,EncodeBtxBundle roundtrip plus 5 valid and 4 invalid vectors on disk and a public secret scan; note that the vectors exercise the JSON-body container and audit/architecture-canonicalization.md DUP-2 records a second PJSON-1 body under the same magic
CONV-21-stale-economy,stale percent_funded cannot spend,PASS,audit/btx-package-vectors/invalid/stale-percent-funded.json,stale percent_funded yields automatic_spend_atoms=0; refresh against a live chain is NOT_RUN
CONV-22-qrp,query summaries,PASS,src/test/modelnet_network02_tests.cpp::query_router_summary_truncation_and_reconcile_want_cap,capped summary sample and reconcile want cap enforced
CONV-23-dynamic-query,popular/rare expansion,NOT_RUN,n/a,LOCAL search works but popular/rare query expansion was never driven end-to-end across peers
CONV-24-xor-bits,384 bit-prefix buckets,PASS,src/test/modelnet_convergence_tests.cpp::conv_routing_bucket_is_xor_bit_not_byte,384 bit-prefix buckets; LSB of byte0 maps to bucket 7 not a byte bucket
CONV-25-negcache,TTL negative cache,PASS,src/test/modelnet_convergence_tests.cpp::conv_negative_cache_ttl_and_no_global_verdict,TTL negative cache stays local and produces no global verdict
CONV-26-have,HAVE ranges into picker,PASS,src/test/modelnet_convergence_tests.cpp::conv_live_session_picker_overlapping_ranges;src/test/modelnet_convergence_tests.cpp::conv_selective_unselected_is_not_complete,per-source HAVE PieceRanges gate which pieces the picker may assign and AdvertiseHave refuses unselected files; the DONT_HAVE wire message e2e is NOT_RUN so this row covers range gating only; remote ranges are not canonicalized at the parse site (audit/r1-swarm.md R1-10)
CONV-27-gossip-20,20 metadata peers,NOT_RUN,n/a,no 20-peer metadata mesh; the loopback lab tops out at 4 helpers
CONV-28-ae-1k,1k catalog diff,PASS,src/test/modelnet_convergence_tests.cpp::conv_reconcile_sparse_diff_cheaper_than_full,1k catalog sparse diff is cheaper than a full reconcile
CONV-28-ae-100k,100k catalog,NOT_RUN,n/a,no 100k catalog fixture generator; not extrapolated from the 1k result
CONV-28-ae-1m,1m catalog,NOT_RUN,n/a,no 1m catalog fixture; the RAM and wall-time cost was not authorized this round
CONV-28-ae-10m,10m catalog,NOT_RUN,n/a,no 10m catalog fixture; must not extrapolate PASS from 1k
CONV-29-offline-reconnect,node A reconnect,NOT_RUN,n/a,needs two persistent nodes across a disconnect and rejoin; only single-node isolated regtest ran
CONV-30-watches,journal/watch native,PASS,src/test/modelnet_watch_tests.cpp::watch_persist_restart;src/test/modelnet_watch_tests.cpp::watch_rpc_roundtrip;src/test/modelnet_event_tests.cpp::event_restart_persists_sequence,watch and event journal persist across restart with sequence intact; native tier
CONV-31-mandate,unsigned mandate,PASS,src/test/modelnet_submandate_tests.cpp::mandate_sub_01_unknown_terms_cannot_bypass_publisher;src/test/modelnet_watch_tests.cpp::prepare_funding_action_is_unsigned,unsigned mandate cannot bypass the publisher and the funding action stays unsigned; wallet-signed mandates are NOT_RUN because wallet_sign remains false; mandate enforcement is also not wired to DrainActions (audit/architecture-canonicalization.md GAP-1)
CONV-32-selective,HAVE gating,PASS,src/test/modelnet_convergence_tests.cpp::conv_selective_unselected_is_not_complete,an unselected file is neither advertised HAVE nor counted complete; the upgrade-reuse e2e is NOT_RUN
CONV-33-cdc,content-defined dedup,DEFERRED_WITH_EVIDENCE,src/modelnet/physical_dedup.cpp;src/test/modelnet_convergence_tests.cpp::conv_sentinel_secret_not_in_package_or_rpc,design decision: ContentDefinedDedupShipped() and CrossTenantDedupAllowed() both return false and only exact-digest SamePhysicalBytes ships; the test pins the false flag so there is no CDC implementation to benchmark
CONV-34-lan,two-ns LAN,NOT_RUN,n/a,no two-netns LAN lab was created; only the netgroup classifier unit ran
CONV-35-delegated,two routers,NOT_RUN,n/a,no delegated-routing topology was built; it needs two independent router processes and none were started
CONV-36-0347,0.34.7 mixed binary,NOT_RUN,n/a,no 0.34.7 btx-modeld exists locally (~/.local/opt holds only btx-0.33.1 and btx-0.34.8-regtest) so there is no old binary to pair
CONV-37-modelnet-off,WITH_MODELNET=OFF rebuild,NOT_RUN,contrib/modelnet/check-with-modelnet-off.sh;src/test/modelnet_unique_todo_tests.cpp::unique_todo_build_gui,honest NOT_RUN: the check script exists and ahp_comp_05 runs an ENABLE_MODELNET-unset probe but a real WITH_MODELNET=OFF build needs a second cmake tree which the disk/memory policy forbids; never configured or compiled; the monetary-only stub src/modelnet/disabled_stub.h is by design and is not evidence of a completed rebuild
CONV-37-helper-down,kill helper money still works,PASS,test/functional/feature_modelnet_0348_ops.py;test/functional/feature_modelnet_0348.py;test/functional/feature_modelnet_jit_capability.py;test/functional/feature_modelnet_helper.py,re-run 2026-09-17 all four exit 0 on isolated regtest (never production btxd): each starts a real btx-modeld then SIGTERMs it and getblockcount plus getblockchaininfo still serve; helper-backed RPC fails closed (executemodelimport / executebtxacquisition / HELPER_DOWN) and jit_capability reports helper_down(helper_alive=false) with skipped=[] missing=[]
CONV-38-dos,hostile inputs,PASS,src/test/modelnet_network02_audit_tests.cpp::subpiece_rejects_overlap_overflow_and_does_not_advertise_partial,parser bounds plus overlap/overflow reject and no partial advertisement; 10k sybil and slowloris floods are NOT_RUN
CONV-39-gui-build,BUILD_GUI=ON,NOT_RUN,src/test/modelnet_unique_todo_tests.cpp::unique_todo_build_gui,honest NOT_RUN: no qt6-base-dev or pkg-config Qt6 on this host and a second cmake tree is forbidden; the build was never attempted; the src/qt modelnet surfaces were read and are clean but a source read is not a build
CONV-39-gui-runtime,Qt journeys,NOT_RUN,n/a,honest NOT_RUN: no Qt binary was produced so no journey could be driven; must not PASS from a source grep
CONV-40-cli-rpc,unix RPC JSON,PASS,src/test/modelnet_convergence_tests.cpp::conv_helper_alias_and_no_autospend;test/functional/feature_modelnet_jit_capability.py,native unix RPC JSON including the getmodelcapabilities alias with no autospend; the 2026-09-17 process re-run also exercised public unix hello and 6 public methods plus the btx-capability CLI
CONV-41-stampede,400GiB 1000 downloaders,NOT_RUN,n/a,both halves are forbidden here (400 GiB payload and 1000 real downloaders); the arithmetic-only result lives in CONV-09 and this row stays NOT_RUN
CONV-42-decay,progressive source loss,NOT_RUN,n/a,no progressive source-loss lab was run; the per-stripe unit result is CONV-18 and does not cover decay over time
CONV-43-e2e-dead-assertions,operator e2e scripts assert what they claim,WITH_GAP,contrib/modelnet/e2e-hosting-default.sh;contrib/modelnet/e2e-bridge-matrix.sh;audit/skipped-and-partial-2026-09-17.md,three assertions in executed operator scripts still cannot fail at HEAD: e2e-hosting-default.sh:94 ends a grep chain in || true so START-02 asserts nothing about getmodelnetworkinfo; e2e-bridge-matrix.sh:38 ends in or True so the native_fallback half of BRIDGE-03 proves nothing; e2e-bridge-matrix.sh:26 is || true so only the diagnostic-message check is lost; the scripts do exit PASS but these three lines are not part of what they prove
F2-wallet-signed,wallet-signed package fail-closed,NOT_RUN,src/test/modelnet_unique_todo_tests.cpp::unique_todo_f2_wallet_sign,honest NOT_RUN: the helper never holds wallet keys so caps wallet_sign stays false and a created package reports wallet_signed=false; the native case asserts the false flags rather than faking a signature; F2 closes only with an operator wallet
CUDA-accel-hardware,GPU/accelerator execution tier,NOT_RUN,src/test/modelnet_unique_todo_tests.cpp::unique_todo_hw_cuda;src/modelnet/qualification.cpp,honest NOT_RUN for CUDA/ROCm/Metal/NIXL/GDS/CXL: the guards in qualification.cpp and capability_moe.cpp exist specifically to refuse a faked GPU pass and AssertAccelCase requires absent hardware to report NOT_RUN and requires LoadTrustedRuntime to fail rather than stub; no accelerator run on this host and the live CUDA attestor on the signer host is not test hardware
QUIC-utp-transport,uTP / QUIC transport,NOT_RUN,src/test/modelnet_unique_todo_tests.cpp::unique_todo_utp_quic;src/test/modelnet_unique_todo_tests.cpp::unique_todo_quic_ttc_not_shipping,honest NOT_RUN and NONSHIPPING by design: PQ1 over TCP is the shipped transport and the native cases assert the not-shipping disposition; there is no QUIC/uTP path to exercise so this row can never become PASS in 0.34.8
V-01,VerifiedManifest,PASS,src/test/modelnet_network02_tests.cpp::v01_install_from_manifest_rederive_id_mismatch,install rederives the id from the manifest and rejects a mismatch
V-02,unknown PutFetchedPiece,PASS,src/test/modelnet_network02_tests.cpp::v02_put_fetched_unknown_artifact_rejected;src/test/modelnet_convergence_tests.cpp::conv_put_fetched_wrong_file_index_rejected,unknown artifact and wrong file_index are both rejected
V-03,credit ceiling,PASS,src/test/modelnet_network02_tests.cpp::v03_rare_lane_respects_global_ceiling;src/test/modelnet_network02_tests.cpp::v03_win_zero_and_credit_ceiling_zero_block_unique_rare,the rare lane respects the global credit ceiling and a zero ceiling fails closed
V-04,diversity dimensions,PASS,src/test/modelnet_convergence_tests.cpp::conv_picker_caps_shared_netgroup;src/test/modelnet_network02_tests.cpp::v04_diversity_netgroup_not_identity_fallback,netgroup diversity does not silently fall back to identity in the library; the live caller still supplies a bare host (R1-picker-production-wiring)
V-05,live session,WITH_GAP,src/test/modelnet_network02_tests.cpp::v05_live_metrics_rerun_and_request_phases;contrib/modelnet/e2e-swarm-live.sh;audit/r1-swarm.md,downgraded from PASS: the native live-metrics rerun and request phases really run and the 2026-09-17 loopback swarm really ran but the window is not driven by live measurement in production - the picker reads Metrics() from a TransferSession that was never observed so RequestWindowBytes returns min_inflight_bytes for every peer; a continuous WAN rerun stays NOT_RUN
V-06,ASan UAF,NOT_RUN,n/a,honest NOT_RUN: ASan needs a second instrumented build tree and the Release-only compile policy forbids configuring one
V-07,streaming wrap,DEFERRED_WITH_EVIDENCE,src/modelnet/crypto.h;src/test/modelnet_network02_audit_tests.cpp::v07_release_wrap_is_bounded,design decision: ReleaseWrapAllowed refuses anything over 64MiB (helper.cpp enforces it) so a streaming wrap is deliberately bounded away rather than implemented; nothing larger can be streamed to test
V-08,provenance vs authorship,PASS,src/test/modelnet_network02_audit_tests.cpp::v08_hf_plan_is_source_integrity_not_authorship;src/test/modelnet_network02_tests.cpp::import_plan_immutable_and_authorship_note,import plans record source integrity and an authorship note rather than claiming authorship
REL-flag,CLIENT_VERSION_IS_RELEASE,PASS,CMakeLists.txt,CLIENT_VERSION_IS_RELEASE is still "false" at CMakeLists.txt line 34; not flipped this round; READINESS-0348 is the row that says why it must stay false
PUSH,push/merge/tag,NOT_RUN,n/a,operator did not request a push/merge/tag; the retired fleet gate does not authorize one and PR 123 is already open awaiting the operator
PROD,production btxd,PASS,audit/final-convergence-baseline.md,production btxd untouched this round: no systemctl stop or restart; no SIGKILL; no btxd.real replacement; all testing on isolated regtest and loopback helpers
