id,family,title,given,when,then,environment,proposed_native_suite,evidence_path,status
CR11-APPROVE-06,APPROVE,Veto,A veto-enabled rule with approvals plus a valid rejection,attempt execution,deny while veto remains active,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-06/,NOT_RUN
CR11-APPROVE-07,APPROVE,Decision withdrawal,A previously counted approver withdraws,execute afterward,count only the latest valid decision,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-07/,NOT_RUN
CR11-APPROVE-08,APPROVE,Decision expiration,Quorum assembled from expired decisions,submit the allocation,return approval required,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-08/,NOT_RUN
CR11-APPROVE-09,APPROVE,Two authorities,A valid financial committee approval but no local device grant,request runtime preparation,keep finance authorization separate and request local permission,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-09/,NOT_RUN
CR11-APPROVE-10,APPROVE,Role-body mismatch,A token for one person/role,submit an ApprovalDecision naming another,reject forged actor before counting,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-10/,NOT_RUN
CR11-PLAN-01,PLAN,Cycle rejection,An allocation graph with a dependency cycle,plan execution,reject without reserving or dispatching a child,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-01/,NOT_RUN
CR11-PLAN-02,PLAN,Missing dependency,A leg naming a nonexistent prerequisite,validate allocation,reject the inconsistent graph,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-02/,NOT_RUN
CR11-PLAN-03,PLAN,Finite graph,More than 32 legs or depth greater than 16,submit a plan,reject before expensive expansion,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-03/,NOT_RUN
CR11-PLAN-04,PLAN,Stable child identities,An authorized parent retried after coordinator restart,resume children,reuse each exact child operation ID and intent,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-04/,NOT_RUN
CR11-PLAN-05,PLAN,Partial conversion,Conversion succeeds and funding terms expire,continue the parent saga,retain BTX and return explicit PARTIAL without auto-reversal,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-05/,NOT_RUN
CR11-PLAN-06,PLAN,Unknown child,One child may have signed or broadcast,cancel or retry the parent,retain its hold and enter reconciliation,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-06/,NOT_RUN
CR11-PLAN-07,PLAN,Fenced execution,Two replicas contend for the same accepted allocation,dispatch simultaneously,one valid fenced owner controls each financial child,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-07/,NOT_RUN
CR11-PLAN-08,PLAN,Pre-effect cancellation,No child has any external effect,cancel the allocation,release only safe reservations atomically,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-08/,NOT_RUN
CR11-PLAN-09,PLAN,Post-effect cancellation,A child already converted or broadcast,cancel the allocation,stop new work but preserve completed and uncertain effects,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-09/,NOT_RUN
CR11-PLAN-10,PLAN,Separate entity approvals,A multi-entity graph with incomplete authorization,execute eligible branches,never use one entity approval for another entity funds,Native DAG planner + process executor,modelnet_cr11_plan_tests,evidence/CR11-PLAN-10/,NOT_RUN
CR11-LEDGER-01,LEDGER,Customer lot mapping,Two customers fund the same programme,execute native funding,preserve one exact customer-action-to-lot/outpoint mapping,Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-01/,NOT_RUN
CR11-LEDGER-02,LEDGER,Signer crash,Signer persists a signature then response is lost,restart gateway and signer client,recover exact signed bytes without a second spend,Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-02/,NOT_RUN
CR11-LEDGER-03,LEDGER,Broadcast ambiguity,Native broadcast succeeds but response is lost,retry after all workers restart,rebroadcast identical bytes or reconcile the original transaction,Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-03/,NOT_RUN
CR11-LEDGER-04,LEDGER,Reorg correction,A confirmed funding transaction is reorganized,observe chain change,correct status without granting duplicate spend capacity,Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-04/,NOT_RUN
CR11-LEDGER-05,LEDGER,Known secret persists,A release secret was learned before reorg,reconcile financial rollback,retain knowledge while updating settlement state,Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-05/,NOT_RUN
CR11-LEDGER-06,LEDGER,Refund beneficiary,A custodial contribution becomes natively refundable,execute refund and customer credit,credit the exact original beneficiary under terms,Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-06/,NOT_RUN
CR11-LEDGER-07,LEDGER,No lifetime recycling,A spent allocation is later refunded,request another spend beyond lifetime cap,deny until new authority is explicitly approved,Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-07/,NOT_RUN
CR11-LEDGER-08,LEDGER,Fee conservation,Fee cap exceeds actual settled fees,settle the child,release unused reservation and recognize actual fees once,Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-08/,NOT_RUN
CR11-LEDGER-09,LEDGER,Database/signing boundary,Database outage occurs during external signer call,recover outbox ownership,avoid assuming a database transaction rolled back the signature,Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-09/,NOT_RUN
CR11-LEDGER-10,LEDGER,Backup recovery,Restore custody and ledger backups in an isolated lab,reconcile and refund a valid lot,"preserve native signing rights, customer attribution and history",Actual native regtest + custody + database fault lab,modelnet_cr11_ledger_tests,evidence/CR11-LEDGER-10/,NOT_RUN
CR11-PROGRAM-01,PROGRAM,Outcome-defined objective,A programme references a workload and evidence threshold,publish programme,retain exact objective without selecting a mandatory model brand,Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-01/,NOT_RUN
CR11-PROGRAM-02,PROGRAM,Independent sponsors,Two entities join and fund,observe progress and native outputs,show separate commitments and refund controllers,Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-02/,NOT_RUN
CR11-PROGRAM-03,PROGRAM,Membership not consent,A member joins without financial authorization,request programme debit,require a separate approved allocation,Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-03/,NOT_RUN
CR11-PROGRAM-04,PROGRAM,No invented pool,A programme has a large aggregate budget,generate API and UI views,do not create pooled escrow or transferable security rights,Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-04/,NOT_RUN
CR11-PROGRAM-05,PROGRAM,Native evaluation authority,A supplier reports a successful benchmark,attempt award from the report alone,retain the committed native evaluator/award rules,Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-05/,NOT_RUN
CR11-PROGRAM-06,PROGRAM,Evidence privacy,Private sponsor evidence under member access,query from another member or public scope,enforce declared visibility,Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-06/,NOT_RUN
CR11-PROGRAM-07,PROGRAM,Refund terms,A programme closes without success,request refunds,use each native lot condition rather than a programme button guarantee,Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-07/,NOT_RUN
CR11-PROGRAM-08,PROGRAM,Terms revision,A new programme objective changes native references,fund under old approvals,require exact renewed terms/authority,Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-08/,NOT_RUN
CR11-PROGRAM-09,PROGRAM,Supplier proceeds,An actual claim completes,generate treasury and fee report,"recognize actual proceeds and fees, not nominal bounty size",Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-09/,NOT_RUN
CR11-PROGRAM-10,PROGRAM,Replicated deployment,A funded output reaches 100 devices,record programme impact,count deployments without multiplying acquired rights or principal,Native programme + bounty/release process lab,modelnet_cr11_program_tests,evidence/CR11-PROGRAM-10/,NOT_RUN
CR11-HOLD-01,HOLD,Public free holding,A public model acquired without payment,record portfolio holding,"show zero acquisition cost or defined allocation, no fabricated price",Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-01/,NOT_RUN
CR11-HOLD-02,HOLD,Exact recipe identity,Same weights with different adapter scales,record positions,keep distinct recipe/lock identities,Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-02/,NOT_RUN
CR11-HOLD-03,HOLD,Rights independence,A release contribution and public resource,display acquired position,do not infer exclusive IP or model revenue rights,Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-03/,NOT_RUN
CR11-HOLD-04,HOLD,Shared base allocation,Three recipes reuse one paid base,report aggregate acquisition cost,count the base once under the chosen allocation method,Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-04/,NOT_RUN
CR11-HOLD-05,HOLD,Ready is local evidence,Finance is confirmed but model is not loaded,read position status,do not report local runtime READY,Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-05/,NOT_RUN
CR11-HOLD-06,HOLD,Lock update,A channel points to a new model,reuse a locked position,retain exact old lock until authorized update,Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-06/,NOT_RUN
CR11-HOLD-07,HOLD,Retirement is not deletion,A user retires the hosted management position,observe local files and active session,preserve public files and lease-safe local behavior,Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-07/,NOT_RUN
CR11-HOLD-08,HOLD,Provider exit,A customer disconnects the CEX,use acquired public capability,continue locally without a provider heartbeat,Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-08/,NOT_RUN
CR11-HOLD-09,HOLD,Cost not liquid mark,A useful private capability has an acquisition cost,calculate reserve NAV,exclude cognitive cost from spendable reserve,Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-09/,NOT_RUN
CR11-HOLD-10,HOLD,Private inventory,A local client keeps reporting disabled,inspect hosted holdings,do not infer or enumerate its private local inventory,Native holdings + local runtime fixture,modelnet_cr11_hold_tests,evidence/CR11-HOLD-10/,NOT_RUN
CR11-PRODUCT-01,PRODUCT,Eligibility,A product exists but customer is ineligible,request referral or execution,return explicit eligibility result before effects,Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-01/,NOT_RUN
CR11-PRODUCT-02,PRODUCT,Referral is not execution,An approved introduction request,complete referral,"do not create a trade, loan or funded contract",Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-02/,NOT_RUN
CR11-PRODUCT-03,PRODUCT,Actual rights,A partner offer references a credit or hedge contract,display product,show actual provider/contract not a BTX-created security,Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-03/,NOT_RUN
CR11-PRODUCT-04,PRODUCT,Fee state,A product card is clicked but no contract executes,run revenue reporting,book no execution/referral fee without its contracted event,Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-04/,NOT_RUN
CR11-PRODUCT-05,PRODUCT,Encumbrance,Partner credit places a hold on BTX,request native capability funding,observe reduced actual availability,Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-05/,NOT_RUN
CR11-PRODUCT-06,PRODUCT,Firm quote expiry,A partner quote expires after draft approval,execute through its adapter,enforce quote/authorization bounds,Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-06/,NOT_RUN
CR11-PRODUCT-07,PRODUCT,Data sharing consent,A hardware partner needs deployment details,create referral,send only the customer-approved bounded data,Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-07/,NOT_RUN
CR11-PRODUCT-08,PRODUCT,Adapter outage,One external product service is unavailable,browse public capability and query balances,isolate failure from core discovery and finance state,Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-08/,NOT_RUN
CR11-PRODUCT-09,PRODUCT,Existing engine,A capital plan references OTC conversion,execute eligible order,use actual venue execution rather than fabricated native terms,Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-09/,NOT_RUN
CR11-PRODUCT-10,PRODUCT,No phantom yield,A customer deposits BTX,show reserve page,do not invent staking yield or automatic rehypothecation,Native catalogue + existing product adapter lab,modelnet_cr11_product_tests,evidence/CR11-PRODUCT-10/,NOT_RUN
CR11-REPORT-01,REPORT,Snapshot consistency,Balances change during a large report,paginate and export,bind to a consistent snapshot or explicit per-source observations,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-01/,NOT_RUN
CR11-REPORT-02,REPORT,Separate values,"Cash, research commitments and capability costs",render an executive report,keep three dimensions separate without invented NAV,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-02/,NOT_RUN
CR11-REPORT-03,REPORT,Entity scope,A family adviser lacks one entity entitlement,export a group report,exclude unauthorized data,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-03/,NOT_RUN
CR11-REPORT-04,REPORT,FX freshness,A missing or stale reporting-currency rate,generate valuation,show unavailable valuation without substituting zero,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-04/,NOT_RUN
CR11-REPORT-05,REPORT,FOCUS edition,Compatible cost records under pinned FOCUS1.3,export and validate,match that edition and its supported extension rules,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-05/,NOT_RUN
CR11-REPORT-06,REPORT,Duplicate invoice,Same vendor invoice/period imported twice,rebuild cost allocation,deduplicate or explicitly flag duplicate records,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-06/,NOT_RUN
CR11-REPORT-07,REPORT,Assumption provenance,Forecast savings later differ from observed spend,produce performance comparison,retain original assumption version and actual period,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-07/,NOT_RUN
CR11-REPORT-08,REPORT,Actual revenue,"Deposits, funding principal and one executed fee",compute revenue,include only the actual earned fee on its proper basis,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-08/,NOT_RUN
CR11-REPORT-09,REPORT,History correction,A receipt or report is corrected,inspect prior links,retain immutable original and explicit superseding record,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-09/,NOT_RUN
