kind,id,family,title,method,path,native_file,boost_case,process_file,evidence_tier,quality,handler,notes
OP,joinResearchProgram,OPS,POST /btx/hcp/v1/capital/programs/{id}/memberships,POST,/btx/hcp/v1/capital/programs/{id}/memberships,src/test/modelnet_cr11_program_tests.cpp,cr11_program_02_independent_sponsors,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST memberships independent=true
OP,prepareProgramCommitment,OPS,POST /btx/hcp/v1/capital/programs/{id}/commitments,POST,/btx/hcp/v1/capital/programs/{id}/commitments,src/test/modelnet_cr11_program_tests.cpp,cr11_program_03_membership_not_consent,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST commitments executed=false
OP,listProductOffers,OPS,GET /btx/hcp/v1/capital/products,GET,/btx/hcp/v1/capital/products,src/test/modelnet_cr11_product_tests.cpp,cr11_product_03_actual_rights,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,GET list
OP,getProductOffer,OPS,GET /btx/hcp/v1/capital/products/{id},GET,/btx/hcp/v1/capital/products/{id},src/test/modelnet_cr11_product_tests.cpp,cr11_product_01_eligibility,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/products/prod-demo status 200 only; no ineligibility vector
OP,createProductReferral,OPS,POST /btx/hcp/v1/capital/products/{id}/referral,POST,/btx/hcp/v1/capital/products/{id}/referral,src/test/modelnet_cr11_product_tests.cpp,cr11_product_02_referral_is_not_execution,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST referral not_a_debit; IntentCount=0
OP,createReserveReport,OPS,POST /btx/hcp/v1/capital/reports,POST,/btx/hcp/v1/capital/reports,src/test/modelnet_cr11_report_tests.cpp,cr11_report_01_snapshot_consistency,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/reports
OP,getReserveReport,OPS,GET /btx/hcp/v1/capital/reports/{id},GET,/btx/hcp/v1/capital/reports/{id},src/test/modelnet_cr11_report_tests.cpp,cr11_report_09_history_correction,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,GET by id 200; no superseding-record assertion
OP,createCapitalExport,OPS,POST /btx/hcp/v1/capital/exports,POST,/btx/hcp/v1/capital/exports,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_07_scoped_export,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,POST export; excluded_unauthorized hardcoded true
OP,getCapitalExport,OPS,GET /btx/hcp/v1/capital/exports/{id},GET,/btx/hcp/v1/capital/exports/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/exports/{id} handler only
CASE,CR11-COMP-01,COMP,Base route preservation,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_01_base_route_preservation,test/functional/feature_modelnet_cr11.py,NATIVE+PROCESS,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,GET /profile+/health+/extension; does not replay 34 golden base routes
CASE,CR11-COMP-02,COMP,Negotiated extension binding,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_02_negotiated_extension_binding,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,reject before any new extension effect
CASE,CR11-COMP-03,COMP,Unknown extension,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_03_unknown_extension,test/functional/feature_modelnet_cr11.py; test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,return PROFILE_UNSUPPORTED without unrestricted funding fallback
CASE,CR11-COMP-04,COMP,Domain separation,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_04_domain_separation,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,reject the body ID/signature mismatch
CASE,CR11-COMP-05,COMP,Strict parser parity,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_05_strict_parser_parity,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,DecodePjson1 + HcpObjectTypeOk; Python SDK body-id in contrib/modelnet/crf-sdk/python/test_body_id.py; no TS process
CASE,CR11-COMP-06,COMP,No package version inflation,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_06_no_package_version_inflation,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,preserve exact package bytes and avoid creating Core v4
CASE,CR11-COMP-07,COMP,Safe downgrade,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_07_safe_downgrade,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,stop new effects and retain reconciliation of accepted children
CASE,CR11-COMP-08,COMP,Key rotation,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_08_key_rotation,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,reject while retaining historical receipts as dated evidence
CASE,CR11-COMP-09,COMP,Migration restart,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_09_migration_restart,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,Persist + outstanding>=0; no crash/restart schema migration
CASE,CR11-COMP-10,COMP,Rollback accountability,,,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_10_rollback_accountability,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,Idempotency conflict only; not application rollback
CASE,CR11-ENTITY-01,ENTITY,Group view is not debit authority,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_01_group_view_not_debit,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,deny without reserving funds
CASE,CR11-ENTITY-02,ENTITY,Family segregation,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_02_family_segregation,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,Sibling-funds subtract; not company/trust/foundation accounts
CASE,CR11-ENTITY-03,ENTITY,Adviser draft only,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_03_adviser_draft_only,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,deny the higher effect while preserving the draft
CASE,CR11-ENTITY-04,ENTITY,Forged request account,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_04_forged_request_account,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,reject account mismatch instead of trusting the body
CASE,CR11-ENTITY-05,ENTITY,Self-escalation,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_05_self_escalation,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,deny and emit a scoped audit event
CASE,CR11-ENTITY-06,ENTITY,Membership expiry,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_06_membership_expiry,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,recheck current role and reject when no longer eligible
CASE,CR11-ENTITY-07,ENTITY,Scoped export,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_07_scoped_export,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,Hardcoded excluded_unauthorized=true
CASE,CR11-ENTITY-08,ENTITY,Cross-entity legs,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_08_cross_entity_legs,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,Creates two FINANCIAL legs; does not assert other entity unexecuted
CASE,CR11-ENTITY-09,ENTITY,Independent currencies,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_09_independent_currencies,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,retain original amounts and use explicit dated FX observations
CASE,CR11-ENTITY-10,ENTITY,Relationship revocation,,,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_10_relationship_revocation,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,deny future actions without rewriting prior ownership history
CASE,CR11-RESERVE-01,RESERVE,Capacity formula,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_01_capacity_formula,test/functional/feature_modelnet_cr11.py; test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,return exactly 250 atoms
CASE,CR11-RESERVE-02,RESERVE,Protected floor,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_02_protected_floor,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,reject with no partial hold or policy consumption
CASE,CR11-RESERVE-03,RESERVE,Existing hold counted once,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_03_existing_hold_counted_once,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,Capacity with held=0; does not prove double-subtract of an existing hold via execute
CASE,CR11-RESERVE-04,RESERVE,Mandate exhaustion,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_04_mandate_exhaustion,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,deny despite sufficient cash
CASE,CR11-RESERVE-05,RESERVE,Concurrent allocation,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_05_concurrent_allocation,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,Serial loop in one engine; not multi-replica
CASE,CR11-RESERVE-06,RESERVE,Duplicate operation,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_06_duplicate_operation,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,return one existing reservation
CASE,CR11-RESERVE-07,RESERVE,Conflicting duplicate,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_07_conflicting_duplicate,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,return IDEMPOTENCY_CONFLICT with no new effect
CASE,CR11-RESERVE-08,RESERVE,Pending deposit exclusion,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_08_pending_deposit_exclusion,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,exclude the deposit from AVAILABLE
CASE,CR11-RESERVE-09,RESERVE,Encumbered capital exclusion,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_09_encumbered_capital_exclusion,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,exclude encumbered funds through the authoritative ledger
CASE,CR11-RESERVE-10,RESERVE,Soft budget is not money,,,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_10_soft_budget_is_not_money,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,enforce the common financial ceiling rather than summing budgets
CASE,CR11-VALUE-01,VALUE,Stale reserve price,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_01_stale_reserve_price,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,return PRICE_STALE rather than a spendable valuation
CASE,CR11-VALUE-02,VALUE,Conservative atom rounding,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_02_conservative_atom_rounding,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,round upward without floating-point drift
CASE,CR11-VALUE-03,VALUE,Invalid market inputs,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_03_invalid_market_inputs,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,reject before creating a trade
CASE,CR11-VALUE-04,VALUE,Bounded stress haircut,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_04_bounded_stress_haircut,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,use the approved conservative price and exact rounding
CASE,CR11-VALUE-05,VALUE,Replenishment cooldown,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_05_replenishment_cooldown,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,create no second active replenishment within the limit
CASE,CR11-VALUE-06,VALUE,Source asset restriction,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_06_source_asset_restriction,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,deny without an order
CASE,CR11-VALUE-07,VALUE,Lifetime turnover,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_07_lifetime_turnover,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,stop even when the new order alone is small
CASE,CR11-VALUE-08,VALUE,Quote expiry before execution,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_08_quote_expiry_before_execution,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,ExpireQuote then Now()==default clock; no execute-after-expiry
CASE,CR11-VALUE-09,VALUE,Unknown conversion,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_09_unknown_conversion,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,Cross-CEX duplicate action id; not venue timeout/unknown fill
CASE,CR11-VALUE-10,VALUE,Suggest is read/plan only,,,src/test/modelnet_cr11_value_tests.cpp,cr11_value_10_suggest_is_read_plan_only,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,produce a proposal with zero executed orders
CASE,CR11-TCO-01,TCO,Worked ownership case,,,src/test/modelnet_cr11_tco_tests.cpp,cr11_tco_01_worked_ownership_case,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11.cpp+engine,return $600000 versus $245000 and the defined break-even
CASE,CR11-TCO-02,TCO,Quality equivalence,,,src/test/modelnet_cr11_tco_tests.cpp,cr11_tco_02_quality_equivalence,,NATIVE,REAL,src/modelnet/hcp_cr11.cpp+engine,exclude it from an equivalent-savings claim
CASE,CR11-TCO-03,TCO,Unknown cost,,,src/test/modelnet_cr11_tco_tests.cpp,cr11_tco_03_unknown_cost,,NATIVE,REAL,src/modelnet/hcp_cr11.cpp+engine,preserve unknown instead of silently using zero
CASE,CR11-TCO-04,TCO,Unit separation,,,src/test/modelnet_cr11_tco_tests.cpp,cr11_tco_04_unit_separation,,NATIVE,REAL,src/modelnet/hcp_cr11.cpp+engine,reject ambiguous or mismatched unit arithmetic
