# Native AHP acceptance from ./bin/test_btx --run_test=modelnet_ahp* plus NETWORK-02 remain/iso on 2026-09-17.
# Grouped 288/288 PASS (AHP + network02* + j05 iso + journey2 iso + erasure I/O + infra + first_run + governor + gap_erasure).
# Python 63 are NOT native PASS.
# Status: PASS = native executed this loop; DEFERRED = honest lab gap; NOT_RUN = operator-gated remainder.
id,native_case,status,remainder
AHP-VAR-03,ahp_var_03_memory_feasibility,PASS,
AHP-VAR-04,ahp_var_04_unknown_compatibility,PASS,
AHP-VAR-05,ahp_var_05_dependency_cycle_and_depth,PASS,
AHP-VAR-06,ahp_var_06_variant_resource_mismatch,PASS,
AHP-VAR-07,ahp_var_07_partial_selection,PASS,unverified execute stays SELECTION_READY; MODEL_READY needs verified_local_files
AHP-VAR-08,ahp_var_08_model_less_bounty,PASS,
AHP-ACQ-01,ahp_acq_01_no_account_native_plan,PASS,
AHP-ACQ-02,ahp_acq_02_original_source_outage_does_not_rewrite_ids,PASS,
AHP-ACQ-03,ahp_acq_03_hint_substitution_does_not_alias_identity,PASS,
AHP-ACQ-04,ahp_acq_04_native_only_rejects_external_fallback,PASS,
AHP-ACQ-05,ahp_acq_05_external_opt_in_is_distinct_plan,PASS,
AHP-ACQ-06,ahp_acq_06_concurrent_reservation_exhaustion,PASS,live swarm concurrent NOT_RUN
AHP-ACQ-07,ahp_acq_07_stale_cache_reverify,PASS,live helper piece cache NOT_RUN
AHP-ACQ-08,ahp_acq_08_multi_file_path_and_symlink,PASS,live multi-file swarm export NOT_RUN
AHP-ACQ-09,ahp_acq_09_active_output_lease_is_plan_field,PASS,
AHP-ACQ-10,ahp_acq_10_idempotent_plan_rejects_conflicting_payload,PASS,
AHP-RUN-01,ahp_run_01_plan_is_not_execution,PASS,
AHP-RUN-02,ahp_run_02_authorized_local_smoke_plan,PASS,
AHP-RUN-03,ahp_run_03_no_arbitrary_shell,PASS,
AHP-RUN-04,ahp_run_04_no_model_custom_code,PASS,
AHP-RUN-05,ahp_run_05_network_containment,PASS,
AHP-RUN-06,ahp_run_06_credentials_not_inherited_into_plan,PASS,
AHP-RUN-07,ahp_run_07_oom_and_cancel_bounds_without_success_receipt,PASS,
AHP-RUN-08,ahp_run_08_changed_executable_invalidates_plan,PASS,
AHP-ECO-01,ahp_eco_01_stale_reward_preview,PASS,
AHP-ECO-02,ahp_eco_02_free_does_not_become_paid,PASS,
AHP-ECO-03,ahp_eco_03_bounty_inspection_only,PASS,
AHP-ECO-04,ahp_eco_04_separate_approved_funding,PASS,
AHP-ECO-05,ahp_eco_05_reorg_knowledge,PASS,
AHP-ECO-06,ahp_eco_06_observation_source_spoof,PASS,
AHP-PRIV-01,ahp_priv_01_no_required_analytics,PASS,packet capture NOT_RUN
AHP-PRIV-02,ahp_priv_02_hardware_inventory_local,PASS,
AHP-PRIV-03,ahp_priv_03_credential_sentinels,PASS,
AHP-PRIV-04,ahp_priv_04_descriptor_host_disclosure,PASS,
AHP-PRIV-05,ahp_priv_05_no_embedded_presigned_capabilities,PASS,
AHP-PRIV-06,ahp_priv_06_multiple_directories,PASS,
AHP-PRIV-07,ahp_priv_07_gated_source,PASS,
AHP-PRIV-08,ahp_priv_08_unix_public_surface_denylist,PASS,
AHP-CHAN-01,ahp_chan_01_mutable_web_path,PASS,
AHP-CHAN-02,ahp_chan_02_rollback,PASS,
AHP-CHAN-03,ahp_chan_03_equivocation,PASS,
AHP-CHAN-04,ahp_chan_04_untrusted_channel_key,PASS,
AHP-CHAN-05,ahp_chan_05_follow_is_explicit,PASS,
AHP-CHAN-06,ahp_chan_06_offline_expiry,PASS,
AHP-CHAN-07,ahp_chan_07_restart_high_water,PASS,
AHP-CHAN-08,ahp_chan_08_lease_hold,PASS,
AHP-API-01,ahp_api_01_capabilities,PASS,
AHP-API-02,ahp_api_02_inspect_fields_never_collapsed,PASS,
AHP-API-03,ahp_api_03_get_document_inert,PASS,
AHP-API-04,ahp_api_04_plan_execute_cancel_acquisition,PASS,
AHP-API-05,ahp_api_05_install_trust_required_and_runtime_plan_only,PASS,
AHP-API-06,ahp_api_06_create_unsigned_regtest_core_v2,PASS,
AHP-API-07,ahp_api_07_error_specificity,PASS,
AHP-API-08,ahp_api_08_concurrent_parser,PASS,not a DoS/rate-limit proof
AHP-COMP-01,ahp_comp_01_old_peer_new_package,PASS,live 0.34.7 peer process NOT_RUN
AHP-COMP-02,ahp_comp_02_legacy_export_deliberate,PASS,
AHP-COMP-03,ahp_comp_03_bundle_vs_descriptor,PASS,
AHP-COMP-04,ahp_comp_04_helper_down,PASS,isolated -nomodelnet TestingSetup; production helper-down NOT_RUN
AHP-COMP-05,ahp_comp_05_modelnet_disabled_build,PASS,check-with-modelnet-off.sh + sequential Release WITH_MODELNET=OFF tree (then rm -rf)
AHP-COMP-06,ahp_comp_06_reference_is_not_native_evidence,PASS,Python 63 != native PASS
AHP-J01,ahp_j01_cold_inspect_without_account,PASS,
AHP-J02,ahp_j02_existing_client_no_account,PASS,
AHP-J03,ahp_j03_corporate_isolation_deferred,DEFERRED_WITH_EVIDENCE,no independent org lab
AHP-J04,ahp_j04_hostile_agents_md,PASS,
AHP-J05,ahp_j05_native_only_plan,PASS,isolated two-catalog PutFetchedPiece origin-off PASS; live WAN peers NOT_RUN
AHP-J06,ahp_j06_stale_channel,PASS,
AHP-J07,ahp_j07_old_peer_v1,PASS,
AHP-J08,ahp_j08_btx_open_local_file,PASS,MODEL_READY via verified_local_files; btx-open preview; OS double-click remainder NOT_RUN
