operation_id,method,path,scope,effect,request,response,disposition
recordValuationObservation,POST,/btx/hcp/v1/institutional/valuations,valuations:write,RECORD,ValuationObservationV1_2,ValuationObservationV1_2Envelope,NEW on same HcpEngine
getValuationObservation,GET,/btx/hcp/v1/institutional/valuations/{id},valuations:read,READ,,ValuationObservationV1_2Envelope,NEW on same HcpEngine
recordExposureLinks,POST,/btx/hcp/v1/institutional/exposures,exposures:write,RECORD,ExposureLinkV1_2,ExposureLinkV1_2Envelope,NEW on same HcpEngine
listExposureLinks,GET,/btx/hcp/v1/institutional/exposures,exposures:read,READ,,Page,NEW on same HcpEngine
defineInstitutionalMetric,POST,/btx/hcp/v1/institutional/metrics,metrics:admin,RECORD,MetricDefinitionV1_2,MetricDefinitionV1_2Envelope,NEW on same HcpEngine
listInstitutionalMetrics,GET,/btx/hcp/v1/institutional/metrics,metrics:read,READ,,Page,NEW on same HcpEngine
createPortfolioProjection,POST,/btx/hcp/v1/institutional/projections,projections:create,RECORD,ProjectionRequest,Job,NEW on same HcpEngine
getPortfolioProjection,GET,/btx/hcp/v1/institutional/projections/{id},projections:read,READ,,PortfolioProjectionV1_2Envelope,NEW on same HcpEngine
createInstitutionalExport,POST,/btx/hcp/v1/institutional/exports,exports:create,EXPORT,ExportRequest,Job,NEW on same HcpEngine
getInstitutionalExport,GET,/btx/hcp/v1/institutional/exports/{id},exports:read,READ,,ExportManifestV1_2Envelope,NEW on same HcpEngine
downloadInstitutionalExportChunk,GET,/btx/hcp/v1/institutional/exports/{id}/chunks/{chunk_id},exports:read,READ,,BINARY,NEW on same HcpEngine
validateInstitutionalImport,POST,/btx/hcp/v1/institutional/imports/validate,imports:write,RECORD,ImportValidateRequest,Job,NEW on same HcpEngine
commitInstitutionalImport,POST,/btx/hcp/v1/institutional/imports/{id}/commit,imports:write,RECORD,ImportCommitRequest,InteroperabilityReceiptV1_2Envelope,NEW on same HcpEngine
getInstitutionalImport,GET,/btx/hcp/v1/institutional/imports/{id},imports:read,READ,,InteroperabilityReceiptV1_2Envelope,NEW on same HcpEngine
listReconciliationBreaks,GET,/btx/hcp/v1/institutional/breaks,reconciliation:read,READ,,Page,NEW on same HcpEngine
getReconciliationBreak,GET,/btx/hcp/v1/institutional/breaks/{id},reconciliation:read,READ,,ReconciliationBreakV1_2Envelope,NEW on same HcpEngine
resolveReconciliationBreak,POST,/btx/hcp/v1/institutional/breaks/{id}/resolve,reconciliation:write,RECORD,ResolveBreakRequest,ReconciliationBreakV1_2Envelope,NEW on same HcpEngine
preparePortfolioInstruction,POST,/btx/hcp/v1/institutional/instructions,capital:prepare,PLAN,InstructionRequest,PortfolioInstructionV1_2Envelope,NEW on same HcpEngine
getPortfolioInstruction,GET,/btx/hcp/v1/institutional/instructions/{id},capital:read,READ,,PortfolioInstructionV1_2Envelope,NEW on same HcpEngine
translatePortfolioInstruction,POST,/btx/hcp/v1/institutional/instructions/{id}/translate,capital:prepare,TRANSLATE_TO_DRAFT,IdRequest,InteroperabilityReceiptV1_2Envelope,NEW on same HcpEngine
runInstitutionalScenario,POST,/btx/hcp/v1/institutional/scenarios,scenarios:create,RECORD,ScenarioRequest,Job,NEW on same HcpEngine
getInstitutionalScenario,GET,/btx/hcp/v1/institutional/scenarios/{id},scenarios:read,READ,,ScenarioResultV1_2Envelope,NEW on same HcpEngine
getLayerConformance,GET,/btx/hcp/v1/layer/conformance/{id},catalog:read,READ,,ConformanceStatementV1_2Envelope,NEW on same HcpEngine
getLayerJob,GET,/btx/hcp/v1/layer/jobs/{id},jobs:read,READ,,Job,NEW on same HcpEngine
cancelLayerJob,POST,/btx/hcp/v1/layer/jobs/{id}/cancel,jobs:cancel,RECORD,IdRequest,Job,NEW on same HcpEngine
stageInstitutionalImportChunk,POST,/btx/hcp/v1/institutional/imports/chunks,imports:write,RECORD,BINARY,StagedChunk,NEW on same HcpEngine
