# BTX-AHP-001 native acceptance. Executed 2026-09-17: 122/122 modelnet_ahp* PASS.
# See agent-package-acceptance-native.csv for PASS/DEFERRED/NOT_RUN per id.
# Python 63 reference tests are not native PASS (AHP-COMP-06).
test_id,group,scenario,fixture,steps,pass_condition,required_evidence,evidence_path,candidate_fingerprint,command,status,reviewer
AHP-FRM-11,Framing and canonical byte language,Core-v2 on legacy client,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,Give the new descriptor to a strict v1 client and to the updated client.,Legacy client explicitly reports unsupported core; updated client understands it; neither silently downgrades.,"Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-12,Framing and canonical byte language,Critical extension collision,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,Add an unknown critical feature and test a preexisting private Core-v2 allocation.,Actions fail closed for unknown features; coordinator detects version collision before creating incompatible writes.,"Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-DOC-01,Embedded guidance and safe presentation,Required documents,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.","Create a handoff without AGENTS.md, then without README.md.",Writer/validator rejects an incomplete agent-handoff profile; never invent missing signed content.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-02,Embedded guidance and safe presentation,Byte-level document hash,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.",Change one document byte or claimed byte size while preserving other fields.,Reject the mismatched document; changing and correctly resigning it creates a new core ID.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-03,Embedded guidance and safe presentation,Document limits,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.","Exercise 24-KiB AGENTS, 64-KiB document, 256-KiB aggregate and 32-document boundaries.",At-limit inputs accepted; over-limit rejected without truncating signed prose.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-04,Embedded guidance and safe presentation,Path safety,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.","Use absolute, dot-dot, backslash, device, colon, NUL, percent-encoded and case-collision paths.",No path escapes or overwrites; invalid virtual paths rejected consistently on Linux and macOS.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-05,Embedded guidance and safe presentation,Generated guide consistency,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.","Change a structured model ID, retrieval mode or runtime profile and regenerate the package.",Generated operational guide follows typed fields; contradictory author notes are flagged and never become planner authority.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-06,Embedded guidance and safe presentation,Prompt-injection instruction,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.","Insert notes claiming to override system rules, reveal credentials, or authorize wallet signing.",Inspection stays inert; application policy denies extra effects; no parent instructions or wallet state change.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-07,Embedded guidance and safe presentation,No workspace instruction takeover,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.",Open a package containing AGENTS.md from within a code project.,Default read creates no AGENTS.md on disk and does not overwrite project or home guidance.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-08,Embedded guidance and safe presentation,Safe terminal and GUI rendering,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.","Include ANSI escapes, bidi formatting, active HTML and external images in prose.",Terminal controls are escaped; GUI issues no image/link-preview requests and executes no active content.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-09,Embedded guidance and safe presentation,Generic first read,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.","In a clean environment without BTX, run the independent inspector on a fetched fixture.",Agent can read AGENTS.md and typed client requirements using ordinary tools; no mandatory BTX bootstrapper.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-10,Embedded guidance and safe presentation,Readable-sidecar mismatch,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.",Serve a readable JSON or Markdown preview inconsistent with the downloaded descriptor.,"Preview is labeled nonauthoritative; mismatch blocks using it to choose installation, models or economics.","Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-11,Embedded guidance and safe presentation,Explicit safe extraction,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.","Ask for extraction into a fresh directory, then attempt overwrite and a symlinked target.",Exclusive no-follow extraction succeeds only in the safe destination; default preview remains extraction-free.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-DOC-12,Embedded guidance and safe presentation,Translated prose,"Use native inspect/document interfaces, a clean workspace, and sentinels in parent/home AGENTS.md.",Add multilingual notes and regenerate signatures while keeping typed identifiers stable.,UTF-8 limits and hashes apply to actual bytes; language does not bypass authority or path checks.,"Document hashes, stdout/GUI captures, filesystem diff and sandbox event trace.",,,,NOT_RUN,
AHP-AUTH-01,"Signing, provenance and local trust",Real signature vector,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.",Sign a known Core-v2 digest and verify it with native APIs and an independent compatible verifier.,"Exact 48-byte message, pure ML-DSA mode/context and key/signature sizes match; framing-only tests are not substituted.","Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-AUTH-02,"Signing, provenance and local trust",Signed document mutation,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.",Mutate a runtime profile or document and update only the framing digest.,Signature verification fails even though frame integrity now passes.,"Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-AUTH-03,"Signing, provenance and local trust",Signer identity mismatch,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.",Keep a valid signature but replace the declared signer ID.,Native public-key-to-identity derivation rejects the mismatch.,"Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-AUTH-04,"Signing, provenance and local trust",Unknown self-signed author,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.",Open a structurally valid package signed by a new untrusted key.,Report valid signature separately from unknown trust; no installation/execution without explicit trust/acceptance.,"Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-AUTH-05,"Signing, provenance and local trust",Observations outside core,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.",Change a cached funding or availability observation while retaining signed core.,Core identity remains unchanged; observation never becomes package-author-attested or wallet-authoritative.,"Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-AUTH-06,"Signing, provenance and local trust",Provenance not authorship,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.",A mirror signs a package referencing an upstream lab model.,UI/API expose packager and publisher separately; no automatic attribution of model authorship to the mirror.,"Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-AUTH-07,"Signing, provenance and local trust",Root substitution,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.",Supply a client binary and a matching attacker key in package notes.,No independent software trust is established; installer remains TRUST_REQUIRED.,"Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-AUTH-08,"Signing, provenance and local trust",Finite multi-stage authority,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.",Authorize exact install/acquire/local-run plan once and then alter its selected resource or maximum bytes.,Original approved plan runs without redundant prompts; materially changed plan requires new authority.,"Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-AUTH-09,"Signing, provenance and local trust",Unsigned preview,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.","Open an unsigned descriptor and request inspection, installation and funding in sequence.",Inspection allowed; later effects require their independent authorities; no blanket verified flag.,"Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-AUTH-10,"Signing, provenance and local trust",Key rotation boundaries,"Use real native ML-DSA-44 keys for package author, publisher, software distributor and attacker; preserve distinct key stores.",Rotate package/publisher keys using a valid scoped native delegation; also test unsigned rotation.,Valid delegation accepted only for its scope; unsigned key replacement does not change software-distribution trust.,"Native signature vectors, trust-decision log and zero-effect assertions.",,,,NOT_RUN,
AHP-INS-01,Client acquisition and installation,No existing BTX client,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.","Read package with generic tools, resolve trusted test distribution, approve and install user-local client.","Complete client acquisition without preinstalled btx-bootstrap, funded wallet, GPU or production-service mutation.","Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-INS-02,Client acquisition and installation,Already installed compatible client,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.",Provide a trusted compatible client with required capabilities.,Reuse it; no unnecessary download or installation occurs.,"Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-INS-03,Client acquisition and installation,Version versus capability,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.",Offer a high version missing AGENT_HANDOFF_V1 and a lower compatible version within allowed policy.,"Planner uses actual capabilities and minimum version together, not version marketing alone.","Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-INS-04,Client acquisition and installation,Freeze and rollback,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.",Replay expired release metadata and downgrade target below the accepted local floor.,Reject freeze/rollback unless an explicit independently authorized recovery policy permits it.,"Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-INS-05,Client acquisition and installation,Binary mismatch,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.",Serve bytes whose digest/size differs from trusted target metadata.,Reject before execution and remove only staged installation files.,"Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-INS-06,Client acquisition and installation,Unsafe software archive,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.","Provide traversal, symlink escape, duplicate executable and unexpected binary entries.",Safe extraction denies them; no write outside user-local staging or executable allowlist.,"Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-INS-07,Client acquisition and installation,Atomic failure recovery,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.","Interrupt download, verification and final promotion in separate runs.",Restart either resumes verified stages or removes incomplete staging; previously installed client remains usable.,"Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-INS-08,Client acquisition and installation,Privilege escalation,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.","Package requests system install, sudo or replacement of running btxd.",Default user-local plan refuses escalation and leaves production unchanged.,"Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-INS-09,Client acquisition and installation,First-use missing trust,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.",Remove every independently accepted software root/package manager mapping.,"Return precise trust decision, not automatic approval of the package-supplied key.","Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-INS-10,Client acquisition and installation,Offline approved cache,"Use an isolated fresh home, test distribution metadata signed by an independently configured root, and local HTTP fixtures only.","With no internet, install an independently verified locally cached distribution.",No network required when trust metadata and exact software bytes are already valid locally.,"Install plan digest, file hashes, metadata validation and process/filesystem audit.",,,,NOT_RUN,
AHP-VAR-01,Variants and dependency planning,Explicit selection wins,"Use a family with CPU, ROCm, CUDA and Metal profiles, required tokenizer/config, optional adapters and conflicting claims.",Select a compatible named variant when another is recommended by the publisher.,"Use the user choice, exact immutable resource and its actual dependencies.","Deterministic selection outputs, capability inventory and DAG validation.",,,,NOT_RUN,
AHP-VAR-02,Variants and dependency planning,No vendor preference,"Use a family with CPU, ROCm, CUDA and Metal profiles, required tokenizer/config, optional adapters and conflicting claims.",Feed equivalent backend capabilities and permute variant order.,Stable policy/tie-break decides; no hardcoded CUDA-first or anti-NVIDIA bias.,"Deterministic selection outputs, capability inventory and DAG validation.",,,,NOT_RUN,
AHP-VAR-03,Variants and dependency planning,Memory feasibility,"Use a family with CPU, ROCm, CUDA and Metal profiles, required tokenizer/config, optional adapters and conflicting claims.",Choose a model near RAM capacity with declared runtime/KV overhead and an oversized competitor.,Account for the complete memory estimate; never treat weight-file size alone as guaranteed fit.,"Deterministic selection outputs, capability inventory and DAG validation.",,,,NOT_RUN,
AHP-VAR-04,Variants and dependency planning,Unknown compatibility,"Use a family with CPU, ROCm, CUDA and Metal profiles, required tokenizer/config, optional adapters and conflicting claims.",Provide a runtime label with no installed/qualified adapter or unknown format admission.,"Return unsupported/unknown compatibility, not executable support by label.","Deterministic selection outputs, capability inventory and DAG validation.",,,,NOT_RUN,
AHP-VAR-05,Variants and dependency planning,Dependency cycle and depth,"Use a family with CPU, ROCm, CUDA and Metal profiles, required tokenizer/config, optional adapters and conflicting claims.","Create cycles, missing nodes and chains beyond depth eight.",Bounded failure before transfer; no recursive fetch explosion.,"Deterministic selection outputs, capability inventory and DAG validation.",,,,NOT_RUN,
AHP-VAR-06,Variants and dependency planning,Variant-resource mismatch,"Use a family with CPU, ROCm, CUDA and Metal profiles, required tokenizer/config, optional adapters and conflicting claims.",Reference an absent resource or an ARTIFACT where variant expects MODEL.,Reject inconsistent commitments without inventing an alias.,"Deterministic selection outputs, capability inventory and DAG validation.",,,,NOT_RUN,
AHP-VAR-07,Variants and dependency planning,Partial selection,"Use a family with CPU, ROCm, CUDA and Metal profiles, required tokenizer/config, optional adapters and conflicting claims.","Acquire tokenizer/docs only, then add mandatory weights.",First receipt is SELECTION_READY; later full receipt only after canonical completeness checks.,"Deterministic selection outputs, capability inventory and DAG validation.",,,,NOT_RUN,
AHP-VAR-08,Variants and dependency planning,Model-less bounty,"Use a family with CPU, ROCm, CUDA and Metal profiles, required tokenizer/config, optional adapters and conflicting claims.",Open a BOUNTY package with no winning model and a valid immutable bounty reference.,Preview works without dummy resource; no acquisition/runtime plan is falsely READY.,"Deterministic selection outputs, capability inventory and DAG validation.",,,,NOT_RUN,
AHP-ACQ-01,Native acquisition and local output,No-account native journey,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.",Acquire a public model only from BTX peers on a recipient with no HF account/token or funded wallet.,"Exact verified local files become ready; no upstream login, cloud credential or blockchain sync is required.","Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-ACQ-02,Native acquisition and local output,Original source outage,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.",Serve package locally; disable original HF/HTTPS origin and one bootstrap provider.,Remaining native providers satisfy exact model identity; failure of original hosting does not rewrite IDs.,"Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-ACQ-03,Native acquisition and local output,Hint substitution,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.",A hinted provider serves a different manifest under a familiar name.,VerifiedManifest/identity checks reject substitution before catalog mutation.,"Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-ACQ-04,Native acquisition and local output,Native-only policy,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.",Block native sources but leave a working external HF/torrent/cloud source.,Wait or fail with source reason; do not silently leak requests through external fallback.,"Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-ACQ-05,Native acquisition and local output,External opt-in,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.",Authorize one explicit external-origin mode with its own bounded plan.,Receipt records actual external transport; no claim that those bytes travelled over native PQ1.,"Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-ACQ-06,Native acquisition and local output,Resource ceiling,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.",Exhaust finite byte/disk/concurrency reservations through simultaneous acquisitions.,Global limits hold; package or rare-piece recommendation cannot bypass them.,"Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-ACQ-07,Native acquisition and local output,Restart and stale cache,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.",Interrupt after some pieces; alter one cached file before restart.,Valid bytes reused; altered data reverified/retrieved; no readiness by filename alone.,"Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-ACQ-08,Native acquisition and local output,Safe materialization,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.","Materialize a multi-file model, attempting malicious relative paths and output symlink swaps.",Only safe canonical files exported; no escape; complete file hashes verified.,"Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-ACQ-09,Native acquisition and local output,Active output lease,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.","Start a runtime load while GC, eviction and channel-update jobs run.",Active local files are not deleted/replaced until lease release.,"Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-ACQ-10,Native acquisition and local output,Cancellation and idempotency,"Use real isolated model helpers with safe test model fixtures, finite disk/network quotas and a recipient without HF or S3 credentials.",Cancel an acquisition and retry the same caller-scoped idempotency key; also reuse key with altered payload.,Unused reservations released; retry returns existing outcome; conflicting payload is rejected.,"Helper/process logs, exact manifests/hashes, packet accounting and receipts.",,,,NOT_RUN,
AHP-RUN-01,Local runtime handoff,Plan is not execution,"Use an installed, pinned test adapter and isolated local model fixture; no public inference endpoint is configured.",Request a runtime plan from a ready receipt without execution authorization.,Return inert typed plan; no process starts.,"Typed plan, process argv/environment, network trace, resource usage and receipt.",,,,NOT_RUN,
AHP-RUN-02,Local runtime handoff,Authorized local smoke,"Use an installed, pinned test adapter and isolated local model fixture; no public inference endpoint is configured.",Approve exact runtime plan with local model path and finite limits.,"Known adapter starts, loads exact files and returns a local smoke result; no remote inference.","Typed plan, process argv/environment, network trace, resource usage and receipt.",,,,NOT_RUN,
AHP-RUN-03,Local runtime handoff,No arbitrary shell,"Use an installed, pinned test adapter and isolated local model fixture; no public inference endpoint is configured.","Put shell metacharacters, executable names and unknown flags into package parameters.",Adapter schema rejects unknown commands/flags; spawning uses typed args without shell evaluation.,"Typed plan, process argv/environment, network trace, resource usage and receipt.",,,,NOT_RUN,
AHP-RUN-04,Local runtime handoff,No model custom code,"Use an installed, pinned test adapter and isolated local model fixture; no public inference endpoint is configured.",Offer a model that asks for remote code/plugins or trust_remote_code.,No automatic dynamic code loading; require separate independently trusted adapter/format work.,"Typed plan, process argv/environment, network trace, resource usage and receipt.",,,,NOT_RUN,
AHP-RUN-05,Local runtime handoff,Network containment,"Use an installed, pinned test adapter and isolated local model fixture; no public inference endpoint is configured.",Attempt outbound prompt delivery or a non-loopback service bind.,Default local-run profile blocks it; loopback-only is enforced for service profiles.,"Typed plan, process argv/environment, network trace, resource usage and receipt.",,,,NOT_RUN,
AHP-RUN-06,Local runtime handoff,Credentials and inherited environment,"Use an installed, pinned test adapter and isolated local model fixture; no public inference endpoint is configured.",Place wallet/cloud/install sentinels in parent environment before runtime launch.,"Child receives a minimal approved environment, not unrelated secrets.","Typed plan, process argv/environment, network trace, resource usage and receipt.",,,,NOT_RUN,
AHP-RUN-07,Local runtime handoff,OOM and cancellation,"Use an installed, pinned test adapter and isolated local model fixture; no public inference endpoint is configured.",Exceed the run memory limit and interrupt a running model load.,Bounded cleanup and lease release; no success receipt for failed execution.,"Typed plan, process argv/environment, network trace, resource usage and receipt.",,,,NOT_RUN,
AHP-RUN-08,Local runtime handoff,Changed executable,"Use an installed, pinned test adapter and isolated local model fixture; no public inference endpoint is configured.",Replace a local runtime binary after planning but before authorized execution.,Digest revalidation invalidates plan and prevents time-of-check/time-of-use substitution.,"Typed plan, process argv/environment, network trace, resource usage and receipt.",,,,NOT_RUN,
AHP-ECO-01,Economic objects remain separate,Stale reward preview,Use release/bounty REGTEST fixtures with independent wallet and reorg-capable test chain; no mainnet secrets.,Open a package whose cached funding state differs from local chain facts.,Label cached state stale; refreshed current state is separate; no copied percentage controls spending.,"Exact terms, chain anchors, wallet authorization audit and balances.",,,,NOT_RUN,
AHP-ECO-02,Economic objects remain separate,Free does not become paid,Use release/bounty REGTEST fixtures with independent wallet and reorg-capable test chain; no mainnet secrets.,Make the referenced model await a paid public release during FREE_ONLY acquisition.,Return WAITING_FOR_PUBLIC_RELEASE or explicit funding option; spend remains zero.,"Exact terms, chain anchors, wallet authorization audit and balances.",,,,NOT_RUN,
AHP-ECO-03,Economic objects remain separate,Bounty inspection only,Use release/bounty REGTEST fixtures with independent wallet and reorg-capable test chain; no mainnet secrets.,"Inspect reward, terms, evaluator references and no winning model.",No model ID invented and no pledge/funding transaction created.,"Exact terms, chain anchors, wallet authorization audit and balances.",,,,NOT_RUN,
AHP-ECO-04,Economic objects remain separate,Separate approved funding,Use release/bounty REGTEST fixtures with independent wallet and reorg-capable test chain; no mainnet secrets.,Prepare and approve an exact existing funding operation after refreshing terms.,Only existing wallet authority signs; package signature is not accepted as wallet approval.,"Exact terms, chain anchors, wallet authorization audit and balances.",,,,NOT_RUN,
AHP-ECO-05,Economic objects remain separate,Reorg knowledge distinction,Use release/bounty REGTEST fixtures with independent wallet and reorg-capable test chain; no mainnet secrets.,Reorg a release claim after its secret was disclosed.,Settlement observations update; disclosed knowledge is not forgotten or treated as unreleased ciphertext automatically.,"Exact terms, chain anchors, wallet authorization audit and balances.",,,,NOT_RUN,
AHP-ECO-06,Economic objects remain separate,Observation source spoof,Use release/bounty REGTEST fixtures with independent wallet and reorg-capable test chain; no mainnet secrets.,Portable JSON claims source LOCAL_CHAIN and marks itself current.,Treat as sender observation until locally re-derived; no elevated authority from an enum string.,"Exact terms, chain anchors, wallet authorization audit and balances.",,,,NOT_RUN,
AHP-PRIV-01,Telemetry and access boundaries,No required analytics,Use endpoint/request logging under operator control and native-only versus external-source test plans.,"Run inspect, install planning, variant selection and native acquisition with analytics endpoints blackholed.",No mandatory telemetry dependency; local selection still succeeds.,"Packet captures or equivalent counters, exported data scan and policy audit.",,,,NOT_RUN,
AHP-PRIV-02,Telemetry and access boundaries,Hardware inventory stays local,Use endpoint/request logging under operator control and native-only versus external-source test plans.,Choose between hardware profiles while monitoring all outbound metadata.,No detailed hardware/user inventory leaves the machine absent explicit separate consent.,"Packet captures or equivalent counters, exported data scan and policy audit.",,,,NOT_RUN,
AHP-PRIV-03,Telemetry and access boundaries,Credential sentinels,Use endpoint/request logging under operator control and native-only versus external-source test plans.,"Set HF, S3, wallet and distribution sentinels; export package/receipts/diagnostics.",No secrets in portable files or public responses; private local references stay scoped.,"Packet captures or equivalent counters, exported data scan and policy audit.",,,,NOT_RUN,
AHP-PRIV-04,Telemetry and access boundaries,Descriptor-host disclosure,Use endpoint/request logging under operator control and native-only versus external-source test plans.,"Fetch an HTTPS descriptor, then acquire via peers.","Document host sees its own fetch, not falsely claimed invisible; unrelated origin receives no acquisition call.","Packet captures or equivalent counters, exported data scan and policy audit.",,,,NOT_RUN,
